设备编号,故障次数,累计修复时间,MTTR(h),MTBF(h),设备可用率,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态
EQ-0050,2,12.2,6.1,14753.9,0.9995867208672087,松山湖220kV_断路器_08,断路器,220kV,松山湖220kV变电站,华南,ABB,2013-02-26,25,13,rated_current_a=2729.6; breaking_capacity_ka=62.0,正常运行
EQ-0051,1,4.6,4.6,29515.4,0.9998441734417345,松山湖220kV_隔离开关_01,隔离开关,220kV,松山湖220kV变电站,华南,长征电气,2013-07-07,30,13,rated_current_a=1137.4,正常运行
EQ-0052,1,2.8,2.8,29517.2,0.9999051490514905,松山湖220kV_隔离开关_02,隔离开关,220kV,松山湖220kV变电站,华南,长征电气,2017-07-16,30,9,rated_current_a=1695.6,正常运行
EQ-0056,1,25.3,25.3,29494.7,0.9991429539295393,松山湖220kV_隔离开关_06,隔离开关,220kV,松山湖220kV变电站,华南,河南森源,2013-11-17,30,13,rated_current_a=1736.4,带病运行
EQ-0060,1,6.9,6.9,29513.1,0.9997662601626016,松山湖220kV_避雷器_02,避雷器,220kV,松山湖220kV变电站,华南,西门子,2013-10-02,20,13,rated_voltage_kv=56.1,正常运行
EQ-0063,1,18.6,18.6,29501.4,0.999369918699187,松山湖220kV_避雷器_05,避雷器,220kV,松山湖220kV变电站,华南,河南久盛,2011-06-14,20,15,rated_voltage_kv=164.3,正常运行
EQ-0067,1,36.0,36.0,29484.0,0.998780487804878,松山湖220kV_GIS组合电器_03,GIS组合电器,220kV,松山湖220kV变电站,华南,ABB,2012-10-14,35,14,rated_current_a=2972.1; sf6_pressure_mpa=0.5,正常运行
EQ-0068,1,7.6,7.6,29512.4,0.9997425474254743,南沙110kV_电力变压器_01,电力变压器,110kV,南沙110kV变电站,华南,ABB,2016-09-14,30,10,rated_capacity_mva=214.1; rated_current_a=587.0,正常运行
EQ-0069,1,5.7,5.7,29514.3,0.9998069105691056,南沙110kV_电力变压器_02,电力变压器,220kV,南沙110kV变电站,华南,ABB,2017-12-23,30,9,rated_capacity_mva=74.2; rated_current_a=385.5,正常运行
EQ-0071,1,35.8,35.8,29484.2,0.9987872628726288,南沙110kV_断路器_01,断路器,110kV,南沙110kV变电站,华南,西门子,2019-06-08,25,7,rated_current_a=3523.6; breaking_capacity_ka=32.7,正常运行
EQ-0072,2,46.4,23.2,14736.8,0.9984281842818428,南沙110kV_断路器_02,断路器,35kV,南沙110kV变电站,华南,平高电气,2014-07-04,25,12,rated_current_a=3731.6; breaking_capacity_ka=38.8,正常运行
EQ-0073,1,13.4,13.4,29506.6,0.9995460704607045,南沙110kV_断路器_03,断路器,110kV,南沙110kV变电站,华南,沈阳高开,2018-03-10,25,8,rated_current_a=2528.2; breaking_capacity_ka=42.5,正常运行
EQ-0074,1,6.9,6.9,29513.1,0.9997662601626016,南沙110kV_断路器_04,断路器,110kV,南沙110kV变电站,华南,河南森源,2019-11-12,25,7,rated_current_a=3644.3; breaking_capacity_ka=44.5,正常运行
EQ-0075,1,3.0,3.0,29517.0,0.9998983739837398,南沙110kV_断路器_05,断路器,110kV,南沙110kV变电站,华南,沈阳高开,2015-08-10,25,11,rated_current_a=3907.0; breaking_capacity_ka=59.1,带病运行
EQ-0076,2,14.0,7.0,14753.0,0.9995257452574525,南沙110kV_隔离开关_01,隔离开关,110kV,南沙110kV变电站,华南,西电集团,2012-11-16,30,14,rated_current_a=3103.9,正常运行
EQ-0078,2,8.2,4.1,14755.9,0.9997222222222222,南沙110kV_隔离开关_03,隔离开关,110kV,南沙110kV变电站,华南,西电集团,2015-10-04,30,11,rated_current_a=1954.0,正常运行
EQ-0079,2,5.8,2.9,14757.1,0.9998035230352303,南沙110kV_隔离开关_04,隔离开关,110kV,南沙110kV变电站,华南,西门子,2012-04-12,30,14,rated_current_a=1071.3,正常运行
EQ-0080,2,10.4,5.2,14754.8,0.9996476964769647,南沙110kV_电容器组_01,电容器组,10kV,南沙110kV变电站,华南,荣信股份,2014-09-08,20,12,rated_capacity_mvar=23.5,正常运行
EQ-0081,1,24.9,24.9,29495.1,0.9991565040650406,南沙110kV_电容器组_02,电容器组,35kV,南沙110kV变电站,华南,九州电气,2016-07-08,20,10,rated_capacity_mvar=27.9,正常运行
EQ-0082,3,57.800000000000004,19.26666666666667,9820.733333333334,0.9980420054200543,南沙110kV_避雷器_01,避雷器,35kV,南沙110kV变电站,华南,ABB,2012-07-28,20,14,rated_voltage_kv=187.1,检修停运
EQ-0084,2,6.5,3.25,14756.75,0.999779810298103,南沙110kV_避雷器_03,避雷器,35kV,南沙110kV变电站,华南,西门子,2012-03-16,20,14,rated_voltage_kv=58.1,正常运行
EQ-0086,1,10.4,10.4,29509.6,0.9996476964769647,南沙110kV_GIS组合电器_01,GIS组合电器,110kV,南沙110kV变电站,华南,平高电气,2014-09-07,35,12,rated_current_a=2963.9; sf6_pressure_mpa=0.5,正常运行
EQ-0089,4,34.1,8.525,7371.475,0.9988448509485095,前海110kV_电力变压器_03,电力变压器,35kV,前海110kV变电站,华南,保变电气,2020-01-25,30,6,rated_capacity_mva=117.6; rated_current_a=394.6,正常运行
EQ-0090,1,2.8,2.8,29517.2,0.9999051490514905,前海110kV_断路器_01,断路器,110kV,前海110kV变电站,华南,河南森源,2014-02-14,25,12,rated_current_a=1942.1; breaking_capacity_ka=43.8,带病运行
EQ-0092,2,20.700000000000003,10.350000000000001,14749.65,0.9992987804878048,前海110kV_断路器_03,断路器,110kV,前海110kV变电站,华南,ABB,2020-01-13,25,6,rated_current_a=2216.9; breaking_capacity_ka=58.6,带病运行
EQ-0093,4,77.7,19.425,7360.575,0.9973678861788617,前海110kV_断路器_04,断路器,220kV,前海110kV变电站,华南,平高电气,2021-01-11,25,5,rated_current_a=3810.9; breaking_capacity_ka=46.5,正常运行
EQ-0094,1,24.0,24.0,29496.0,0.9991869918699187,前海110kV_断路器_05,断路器,110kV,前海110kV变电站,华南,平高电气,2014-04-25,25,12,rated_current_a=1498.2; breaking_capacity_ka=51.4,带病运行
EQ-0095,3,17.3,5.766666666666667,9834.233333333334,0.9994139566395664,前海110kV_隔离开关_01,隔离开关,110kV,前海110kV变电站,华南,河南森源,2017-04-12,30,9,rated_current_a=3030.8,正常运行
EQ-0099,1,5.3,5.3,29514.7,0.9998204607046071,前海110kV_电容器组_01,电容器组,10kV,前海110kV变电站,华南,ABB,2016-03-17,20,10,rated_capacity_mvar=22.5,正常运行
EQ-0102,1,5.9,5.9,29514.1,0.9998001355013549,前海110kV_避雷器_02,避雷器,110kV,前海110kV变电站,华南,西门子,2018-08-03,20,8,rated_voltage_kv=152.9,正常运行
EQ-0106,1,12.0,12.0,29508.0,0.9995934959349594,前海110kV_GIS组合电器_02,GIS组合电器,110kV,前海110kV变电站,华南,ABB,2017-08-14,35,9,rated_current_a=3637.5; sf6_pressure_mpa=0.6,正常运行
EQ-0107,2,12.0,6.0,14754.0,0.9995934959349594,张江110kV_电力变压器_01,电力变压器,110kV,张江110kV变电站,华东,保变电气,2015-01-01,30,11,rated_capacity_mva=175.4; rated_current_a=130.7,正常运行
EQ-0108,1,11.0,11.0,29509.0,0.9996273712737127,张江110kV_电力变压器_02,电力变压器,110kV,张江110kV变电站,华东,西电集团,2013-09-20,30,13,rated_capacity_mva=79.2; rated_current_a=254.3,正常运行
EQ-0109,1,1.7,1.7,29518.3,0.9999424119241193,张江110kV_电力变压器_03,电力变压器,110kV,张江110kV变电站,华东,ABB,2010-04-16,30,16,rated_capacity_mva=47.8; rated_current_a=161.9,正常运行
EQ-0113,1,4.4,4.4,29515.6,0.9998509485094851,张江110kV_断路器_04,断路器,110kV,张江110kV变电站,华东,河南森源,2013-10-22,25,13,rated_current_a=3465.3; breaking_capacity_ka=59.8,正常运行
EQ-0117,1,7.1,7.1,29512.9,0.999759485094851,张江110kV_隔离开关_02,隔离开关,110kV,张江110kV变电站,华东,西电集团,2011-10-15,30,15,rated_current_a=3139.4,正常运行
EQ-0118,1,12.6,12.6,29507.4,0.9995731707317074,张江110kV_隔离开关_03,隔离开关,110kV,张江110kV变电站,华东,长征电气,2011-11-03,30,15,rated_current_a=1374.5,正常运行
EQ-0119,1,13.6,13.6,29506.4,0.9995392953929539,张江110kV_隔离开关_04,隔离开关,110kV,张江110kV变电站,华东,长征电气,2009-12-10,30,17,rated_current_a=2569.5,带病运行
EQ-0120,2,35.0,17.5,14742.5,0.9988143631436315,张江110kV_隔离开关_05,隔离开关,35kV,张江110kV变电站,华东,河南森源,2013-11-27,30,13,rated_current_a=2093.2,正常运行
EQ-0121,4,139.6,34.9,7345.1,0.9952710027100271,张江110kV_电容器组_01,电容器组,35kV,张江110kV变电站,华东,思源电气,2009-03-10,20,17,rated_capacity_mvar=21.9,正常运行
EQ-0124,1,9.1,9.1,29510.9,0.9996917344173443,张江110kV_避雷器_02,避雷器,110kV,张江110kV变电站,华东,浙江金利华,2010-11-21,20,16,rated_voltage_kv=68.9,正常运行
EQ-0126,1,3.5,3.5,29516.5,0.9998814363143631,张江110kV_避雷器_04,避雷器,220kV,张江110kV变电站,华东,中国西电,2009-07-17,20,17,rated_voltage_kv=183.2,带病运行
EQ-0127,1,10.1,10.1,29509.9,0.9996578590785908,张江110kV_GIS组合电器_01,GIS组合电器,110kV,张江110kV变电站,华东,ABB,2015-04-14,35,11,rated_current_a=2130.5; sf6_pressure_mpa=0.5,正常运行
EQ-0128,1,6.2,6.2,29513.8,0.9997899728997289,张江110kV_GIS组合电器_02,GIS组合电器,220kV,张江110kV变电站,华东,ABB,2013-10-18,35,13,rated_current_a=3613.6; sf6_pressure_mpa=0.4,正常运行
EQ-0129,5,54.900000000000006,10.98,5893.0199999999995,0.9981402439024389,临港110kV_电力变压器_01,电力变压器,110kV,临港110kV变电站,华东,保变电气,2019-05-28,30,7,rated_capacity_mva=110.8; rated_current_a=176.1,正常运行
EQ-0130,1,9.1,9.1,29510.9,0.9996917344173443,临港110kV_电力变压器_02,电力变压器,110kV,临港110kV变电站,华东,保变电气,2018-02-15,30,8,rated_capacity_mva=229.1; rated_current_a=127.8,正常运行
EQ-0131,1,1.1,1.1,29518.9,0.9999627371273713,临港110kV_电力变压器_03,电力变压器,110kV,临港110kV变电站,华东,特变电工,2016-09-13,30,10,rated_capacity_mva=86.4; rated_current_a=256.6,正常运行
EQ-0132,1,11.9,11.9,29508.1,0.9995968834688347,临港110kV_断路器_01,断路器,35kV,临港110kV变电站,华东,西门子,2014-08-06,25,12,rated_current_a=3485.7; breaking_capacity_ka=33.1,正常运行
EQ-0133,1,43.4,43.4,29476.6,0.998529810298103,临港110kV_断路器_02,断路器,110kV,临港110kV变电站,华东,沈阳高开,2016-04-17,25,10,rated_current_a=2480.1; breaking_capacity_ka=60.4,正常运行
EQ-0135,1,47.8,47.8,29472.2,0.9983807588075881,临港110kV_断路器_04,断路器,110kV,临港110kV变电站,华东,ABB,2017-02-11,25,9,rated_current_a=1854.0; breaking_capacity_ka=58.6,正常运行
EQ-0136,1,10.1,10.1,29509.9,0.9996578590785908,临港110kV_断路器_05,断路器,110kV,临港110kV变电站,华东,西门子,2017-05-18,25,9,rated_current_a=3571.7; breaking_capacity_ka=56.3,正常运行
EQ-0138,1,1.9,1.9,29518.1,0.9999356368563685,临港110kV_隔离开关_02,隔离开关,110kV,临港110kV变电站,华东,长征电气,2015-05-28,30,11,rated_current_a=1059.3,正常运行
EQ-0139,1,7.7,7.7,29512.3,0.9997391598915989,临港110kV_隔离开关_03,隔离开关,110kV,临港110kV变电站,华东,长征电气,2015-12-04,30,11,rated_current_a=1830.8,正常运行
EQ-0142,2,9.399999999999999,4.699999999999999,14755.3,0.9996815718157182,临港110kV_电容器组_02,电容器组,35kV,临港110kV变电站,华东,ABB,2016-09-05,20,10,rated_capacity_mvar=32.0,正常运行
EQ-0144,1,13.2,13.2,29506.8,0.9995528455284552,临港110kV_避雷器_02,避雷器,220kV,临港110kV变电站,华东,河南久盛,2016-07-01,20,10,rated_voltage_kv=181.0,带病运行
EQ-0146,1,13.0,13.0,29507.0,0.999559620596206,临港110kV_避雷器_04,避雷器,110kV,临港110kV变电站,华东,河南久盛,2016-06-08,20,10,rated_voltage_kv=176.9,正常运行
EQ-0148,1,2.3,2.3,29517.7,0.9999220867208672,苏州工业园220kV_电力变压器_01,电力变压器,220kV,苏州工业园220kV变电站,华东,ABB,2011-01-26,30,15,rated_capacity_mva=125.0; rated_current_a=309.9,正常运行
EQ-0151,1,12.4,12.4,29507.6,0.999579945799458,苏州工业园220kV_电力变压器_04,电力变压器,220kV,苏州工业园220kV变电站,华东,保变电气,2008-03-18,30,18,rated_capacity_mva=187.0; rated_current_a=87.7,正常运行
EQ-0153,2,4.1,2.05,14757.95,0.9998611111111112,苏州工业园220kV_断路器_01,断路器,220kV,苏州工业园220kV变电站,华东,平高电气,2007-10-23,25,19,rated_current_a=2702.8; breaking_capacity_ka=51.8,正常运行
EQ-0154,1,37.9,37.9,29482.1,0.9987161246612466,苏州工业园220kV_断路器_02,断路器,220kV,苏州工业园220kV变电站,华东,西门子,2014-09-24,25,12,rated_current_a=2203.6; breaking_capacity_ka=48.5,正常运行
EQ-0155,1,6.6,6.6,29513.4,0.9997764227642277,苏州工业园220kV_断路器_03,断路器,220kV,苏州工业园220kV变电站,华东,平高电气,2008-07-27,25,18,rated_current_a=3759.7; breaking_capacity_ka=52.5,正常运行
EQ-0156,1,55.6,55.6,29464.4,0.9981165311653117,苏州工业园220kV_断路器_04,断路器,220kV,苏州工业园220kV变电站,华东,河南森源,2008-08-03,25,18,rated_current_a=3647.4; breaking_capacity_ka=55.8,正常运行
EQ-0159,1,3.1,3.1,29516.9,0.9998949864498645,苏州工业园220kV_断路器_07,断路器,220kV,苏州工业园220kV变电站,华东,沈阳高开,2013-01-23,25,13,rated_current_a=3351.5; breaking_capacity_ka=42.8,正常运行
EQ-0160,1,30.9,30.9,29489.1,0.9989532520325203,苏州工业园220kV_断路器_08,断路器,110kV,苏州工业园220kV变电站,华东,平高电气,2008-06-04,25,18,rated_current_a=3439.8; breaking_capacity_ka=32.7,备用
EQ-0161,1,1.6,1.6,29518.4,0.9999457994579947,苏州工业园220kV_断路器_09,断路器,35kV,苏州工业园220kV变电站,华东,河南森源,2013-02-15,25,13,rated_current_a=3890.1; breaking_capacity_ka=36.3,正常运行
EQ-0164,1,9.4,9.4,29510.6,0.9996815718157182,苏州工业园220kV_隔离开关_03,隔离开关,220kV,苏州工业园220kV变电站,华东,西电集团,2008-07-11,30,18,rated_current_a=1319.6,检修停运
EQ-0166,1,75.1,75.1,29444.9,0.9974559620596206,苏州工业园220kV_隔离开关_05,隔离开关,220kV,苏州工业园220kV变电站,华东,新东北电气,2013-05-19,30,13,rated_current_a=3123.8,正常运行
EQ-0169,2,13.1,6.55,14753.45,0.9995562330623307,苏州工业园220kV_电容器组_01,电容器组,10kV,苏州工业园220kV变电站,华东,思源电气,2007-09-14,20,19,rated_capacity_mvar=18.0,正常运行
EQ-0171,2,7.3,3.65,14756.35,0.9997527100271003,苏州工业园220kV_电容器组_03,电容器组,35kV,苏州工业园220kV变电站,华东,荣信股份,2011-04-27,20,15,rated_capacity_mvar=27.5,检修停运
EQ-0176,3,32.2,10.733333333333334,9829.266666666666,0.998909214092141,苏州工业园220kV_避雷器_05,避雷器,110kV,苏州工业园220kV变电站,华东,中国西电,2007-02-09,20,19,rated_voltage_kv=159.9,带病运行
EQ-0177,1,5.4,5.4,29514.6,0.9998170731707317,苏州工业园220kV_避雷器_06,避雷器,220kV,苏州工业园220kV变电站,华东,ABB,2010-11-03,20,16,rated_voltage_kv=165.7,带病运行
EQ-0179,1,12.5,12.5,29507.5,0.9995765582655827,苏州工业园220kV_GIS组合电器_01,GIS组合电器,220kV,苏州工业园220kV变电站,华东,西门子,2009-01-28,35,17,rated_current_a=3148.5; sf6_pressure_mpa=0.5,正常运行
EQ-0180,1,66.0,66.0,29454.0,0.9977642276422765,苏州工业园220kV_GIS组合电器_02,GIS组合电器,110kV,苏州工业园220kV变电站,华东,平高电气,2010-10-08,35,16,rated_current_a=3793.5; sf6_pressure_mpa=0.5,正常运行
EQ-0186,3,17.3,5.766666666666667,9834.233333333334,0.9994139566395664,杭州滨江110kV_断路器_02,断路器,110kV,杭州滨江110kV变电站,华东,ABB,2011-04-27,25,15,rated_current_a=1329.9; breaking_capacity_ka=52.2,正常运行
EQ-0187,2,21.0,10.5,14749.5,0.9992886178861788,杭州滨江110kV_断路器_03,断路器,110kV,杭州滨江110kV变电站,华东,ABB,2016-06-07,25,10,rated_current_a=3044.4; breaking_capacity_ka=42.8,检修停运
EQ-0188,3,24.8,8.266666666666667,9831.733333333334,0.999159891598916,杭州滨江110kV_断路器_04,断路器,110kV,杭州滨江110kV变电站,华东,平高电气,2010-02-01,25,16,rated_current_a=3590.6; breaking_capacity_ka=34.3,正常运行
EQ-0189,3,36.7,12.233333333333334,9827.766666666666,0.9987567750677506,杭州滨江110kV_断路器_05,断路器,110kV,杭州滨江110kV变电站,华东,西门子,2015-06-13,25,11,rated_current_a=3210.9; breaking_capacity_ka=50.5,正常运行
EQ-0192,1,9.6,9.6,29510.4,0.9996747967479676,杭州滨江110kV_隔离开关_03,隔离开关,110kV,杭州滨江110kV变电站,华东,河南森源,2011-10-07,30,15,rated_current_a=1189.0,检修停运
EQ-0194,1,74.0,74.0,29446.0,0.9974932249322493,杭州滨江110kV_电容器组_01,电容器组,10kV,杭州滨江110kV变电站,华东,思源电气,2010-04-04,20,16,rated_capacity_mvar=30.7,正常运行
EQ-0195,2,14.9,7.45,14752.55,0.9994952574525745,杭州滨江110kV_电容器组_02,电容器组,10kV,杭州滨江110kV变电站,华东,西门子,2014-04-02,20,12,rated_capacity_mvar=13.9,正常运行
EQ-0196,1,42.1,42.1,29477.9,0.9985738482384824,杭州滨江110kV_避雷器_01,避雷器,110kV,杭州滨江110kV变电站,华东,河南久盛,2015-07-20,20,11,rated_voltage_kv=110.1,带病运行
EQ-0198,1,6.7,6.7,29513.3,0.9997730352303523,杭州滨江110kV_避雷器_03,避雷器,110kV,杭州滨江110kV变电站,华东,中国西电,2009-10-26,20,17,rated_voltage_kv=185.0,检修停运
EQ-0199,2,24.5,12.25,14747.75,0.9991700542005421,杭州滨江110kV_避雷器_04,避雷器,35kV,杭州滨江110kV变电站,华东,西门子,2010-06-22,20,16,rated_voltage_kv=185.1,正常运行
EQ-0200,1,6.5,6.5,29513.5,0.999779810298103,杭州滨江110kV_GIS组合电器_01,GIS组合电器,110kV,杭州滨江110kV变电站,华东,西门子,2011-02-25,35,15,rated_current_a=2588.6; sf6_pressure_mpa=0.5,正常运行
EQ-0201,1,5.8,5.8,29514.2,0.9998035230352303,昆山35kV_电力变压器_01,电力变压器,35kV,昆山35kV变电站,华东,西门子,2004-06-05,30,22,rated_capacity_mva=119.4; rated_current_a=152.6,正常运行
EQ-0202,1,4.9,4.9,29515.1,0.9998340108401084,昆山35kV_电力变压器_02,电力变压器,35kV,昆山35kV变电站,华东,西门子,2006-02-20,30,20,rated_capacity_mva=109.8; rated_current_a=431.7,检修停运
EQ-0203,1,6.1,6.1,29513.9,0.9997933604336043,昆山35kV_断路器_01,断路器,35kV,昆山35kV变电站,华东,沈阳高开,2004-05-12,25,22,rated_current_a=3782.8; breaking_capacity_ka=38.9,带病运行
EQ-0205,1,49.4,49.4,29470.6,0.9983265582655826,昆山35kV_断路器_03,断路器,35kV,昆山35kV变电站,华东,西门子,2007-04-26,25,19,rated_current_a=2722.6; breaking_capacity_ka=47.7,正常运行
EQ-0206,1,3.1,3.1,29516.9,0.9998949864498645,昆山35kV_断路器_04,断路器,35kV,昆山35kV变电站,华东,沈阳高开,2006-04-04,25,20,rated_current_a=3731.8; breaking_capacity_ka=42.9,正常运行
EQ-0208,1,2.6,2.6,29517.4,0.9999119241192412,昆山35kV_隔离开关_02,隔离开关,110kV,昆山35kV变电站,华东,新东北电气,2006-06-10,30,20,rated_current_a=1008.3,正常运行
EQ-0209,1,2.2,2.2,29517.8,0.9999254742547425,昆山35kV_隔离开关_03,隔离开关,110kV,昆山35kV变电站,华东,新东北电气,2008-08-22,30,18,rated_current_a=2447.3,正常运行
EQ-0210,3,25.200000000000003,8.4,9831.6,0.9991463414634146,昆山35kV_电容器组_01,电容器组,35kV,昆山35kV变电站,华东,ABB,2006-10-12,20,20,rated_capacity_mvar=10.8,正常运行
EQ-0211,2,9.4,4.7,14755.3,0.9996815718157182,昆山35kV_电容器组_02,电容器组,10kV,昆山35kV变电站,华东,ABB,2006-03-11,20,20,rated_capacity_mvar=28.8,正常运行
EQ-0212,1,7.4,7.4,29512.6,0.9997493224932249,昆山35kV_避雷器_01,避雷器,35kV,昆山35kV变电站,华东,中国西电,2008-04-12,20,18,rated_voltage_kv=170.1,正常运行
