记录年月,设备编号,设备类型,所属变电站,月平均负荷率,月最大负荷率,环境温度（℃）,油温（℃）,绕组温度（℃）,绝缘电阻（MΩ）,介质损耗角tanδ,局部放电量（pC）,SF6气体压力（MPa）,距离故障月份,故障时间,故障类型
2023-04-01,EQ-0075,断路器,南沙110kV变电站,0.4211,0.5088,24.0,,,6398.0,,,0.494,-1,2023-05-19 20:49:00,外力因素
2023-05-01,EQ-0075,断路器,南沙110kV变电站,0.5641,0.6847,31.6,,,9133.0,,,0.504,0,2023-05-19 20:49:00,外力因素
2023-02-01,EQ-0364,GIS组合电器,武侯110kV变电站,0.4399,0.5255,5.6,45.2,58.7,8194.0,,5.9,0.467,-3,2023-05-21 00:45:00,机械故障
2023-03-01,EQ-0364,GIS组合电器,武侯110kV变电站,0.3802,0.4861,15.3,48.8,60.6,9384.0,,9.9,0.478,-2,2023-05-21 00:45:00,机械故障
2023-04-01,EQ-0364,GIS组合电器,武侯110kV变电站,0.3597,0.4391,14.4,43.2,58.8,12083.0,,2.8,0.501,-1,2023-05-21 00:45:00,机械故障
2023-05-01,EQ-0364,GIS组合电器,武侯110kV变电站,0.4111,0.4974,23.4,61.4,81.4,10706.0,,5.4,0.481,0,2023-05-21 00:45:00,机械故障
2023-02-01,EQ-0004,电力变压器,龙华220kV变电站,0.5244,0.6999,14.2,54.1,73.1,10155.0,0.00604,3.8,,-3,2023-05-21 09:04:00,绝缘故障
2023-03-01,EQ-0004,电力变压器,龙华220kV变电站,0.5298,0.6406,19.6,56.4,73.8,9506.0,0.00496,3.7,,-2,2023-05-21 09:04:00,绝缘故障
2023-04-01,EQ-0004,电力变压器,龙华220kV变电站,0.4932,0.5686,20.8,57.4,73.5,8028.0,0.00293,6.4,,-1,2023-05-21 09:04:00,绝缘故障
2023-05-01,EQ-0004,电力变压器,龙华220kV变电站,0.5404,0.6487,29.0,66.2,81.6,8880.0,0.00471,8.7,,0,2023-05-21 09:04:00,绝缘故障
2023-02-01,EQ-0409,电力变压器,沈阳浑南110kV变电站,0.5369,0.645,-1.4,40.4,56.4,6768.0,0.00469,4.7,,-3,2023-05-22 03:39:00,油系统故障
2023-03-01,EQ-0409,电力变压器,沈阳浑南110kV变电站,0.5268,0.6153,1.3,34.0,49.5,11683.0,0.00469,4.7,,-2,2023-05-22 03:39:00,油系统故障
2023-04-01,EQ-0409,电力变压器,沈阳浑南110kV变电站,0.5536,0.6619,11.4,51.0,66.1,9057.0,0.00324,2.7,,-1,2023-05-22 03:39:00,油系统故障
2023-05-01,EQ-0409,电力变压器,沈阳浑南110kV变电站,0.6166,0.7451,17.5,60.8,77.8,7937.0,0.00511,4.1,,0,2023-05-22 03:39:00,油系统故障
2023-02-01,EQ-0396,电力变压器,成都高新35kV变电站,0.4565,0.5558,7.3,41.0,53.5,12277.0,0.00414,3.1,,-3,2023-05-24 06:51:00,保护动作
2023-03-01,EQ-0396,电力变压器,成都高新35kV变电站,0.3945,0.4753,14.1,43.5,55.5,10690.0,0.00432,8.7,,-2,2023-05-24 06:51:00,保护动作
2023-04-01,EQ-0396,电力变压器,成都高新35kV变电站,0.4628,0.5415,19.7,52.8,71.8,10067.0,0.00375,9.1,,-1,2023-05-24 06:51:00,保护动作
2023-05-01,EQ-0396,电力变压器,成都高新35kV变电站,0.5335,0.6849,23.8,72.0,87.2,9903.0,0.00521,5.1,,0,2023-05-24 06:51:00,保护动作
2023-02-01,EQ-0180,GIS组合电器,苏州工业园220kV变电站,0.4389,0.5548,7.0,42.9,57.3,7097.0,,10.7,0.438,-3,2023-05-25 05:56:00,局部放电
2023-03-01,EQ-0180,GIS组合电器,苏州工业园220kV变电站,0.3579,0.463,13.3,52.2,67.3,9165.0,,24.6,0.492,-2,2023-05-25 05:56:00,局部放电
2023-04-01,EQ-0180,GIS组合电器,苏州工业园220kV变电站,0.4037,0.5297,21.0,52.2,67.8,8403.0,,6.7,0.509,-1,2023-05-25 05:56:00,局部放电
2023-05-01,EQ-0180,GIS组合电器,苏州工业园220kV变电站,0.4575,0.5337,24.3,65.2,79.0,11266.0,,16.6,0.439,0,2023-05-25 05:56:00,局部放电
2023-02-01,EQ-0336,隔离开关,长沙星沙110kV变电站,0.5381,0.7193,3.5,,,,,,,-3,2023-05-25 19:03:00,机械故障
2023-03-01,EQ-0336,隔离开关,长沙星沙110kV变电站,0.5351,0.6469,11.5,,,,,,,-2,2023-05-25 19:03:00,机械故障
2023-04-01,EQ-0336,隔离开关,长沙星沙110kV变电站,0.5382,0.7206,19.3,,,,,,,-1,2023-05-25 19:03:00,机械故障
2023-05-01,EQ-0336,隔离开关,长沙星沙110kV变电站,0.6443,0.8209,22.8,,,,,,,0,2023-05-25 19:03:00,机械故障
2023-02-01,EQ-0071,断路器,南沙110kV变电站,0.4291,0.5042,10.1,,,10604.0,,,0.457,-3,2023-05-26 00:51:00,绝缘故障
2023-03-01,EQ-0071,断路器,南沙110kV变电站,0.4079,0.5409,14.4,,,13167.0,,,0.437,-2,2023-05-26 00:51:00,绝缘故障
2023-04-01,EQ-0071,断路器,南沙110kV变电站,0.4077,0.5154,21.4,,,9674.0,,,0.452,-1,2023-05-26 00:51:00,绝缘故障
2023-05-01,EQ-0071,断路器,南沙110kV变电站,0.4339,0.5343,29.5,,,9974.0,,,0.532,0,2023-05-26 00:51:00,绝缘故障
2023-02-01,EQ-0404,电容器组,成都高新35kV变电站,0.5867,0.7364,9.6,,,,0.00497,,,-3,2023-05-26 01:35:00,外力因素
2023-03-01,EQ-0404,电容器组,成都高新35kV变电站,0.5857,0.7412,12.8,,,,0.00317,,,-2,2023-05-26 01:35:00,外力因素
2023-04-01,EQ-0404,电容器组,成都高新35kV变电站,0.5493,0.6785,18.7,,,,0.00427,,,-1,2023-05-26 01:35:00,外力因素
2023-05-01,EQ-0404,电容器组,成都高新35kV变电站,0.5741,0.7051,21.4,,,,0.0047,,,0,2023-05-26 01:35:00,外力因素
2023-02-01,EQ-0039,电力变压器,松山湖220kV变电站,0.5484,0.6409,12.3,55.8,70.3,12295.0,0.0021,9.5,,-3,2023-05-31 05:43:00,机械故障
2023-03-01,EQ-0039,电力变压器,松山湖220kV变电站,0.5139,0.6885,17.3,53.8,74.1,10297.0,0.003,1.9,,-2,2023-05-31 05:43:00,机械故障
2023-04-01,EQ-0039,电力变压器,松山湖220kV变电站,0.5425,0.6386,22.5,65.4,80.1,13007.0,0.00333,9.8,,-1,2023-05-31 05:43:00,机械故障
2023-05-01,EQ-0039,电力变压器,松山湖220kV变电站,0.5773,0.7195,32.0,72.2,89.3,7029.0,0.00393,11.4,,0,2023-05-31 05:43:00,机械故障
2023-03-01,EQ-0232,避雷器,亦庄110kV变电站,0.4842,0.604,10.0,,,,,,,-3,2023-06-02 12:27:00,密封失效
2023-04-01,EQ-0232,避雷器,亦庄110kV变电站,0.4894,0.6171,15.5,,,,,,,-2,2023-06-02 12:27:00,密封失效
2023-05-01,EQ-0232,避雷器,亦庄110kV变电站,0.5935,0.7991,22.3,,,,,,,-1,2023-06-02 12:27:00,密封失效
2023-06-01,EQ-0232,避雷器,亦庄110kV变电站,0.6417,0.7953,24.8,,,,,,,0,2023-06-02 12:27:00,密封失效
2023-03-01,EQ-0391,避雷器,重庆两江220kV变电站,0.4293,0.5061,12.6,,,,,,,-3,2023-06-05 20:36:00,密封失效
2023-04-01,EQ-0391,避雷器,重庆两江220kV变电站,0.4123,0.4828,15.7,,,,,,,-2,2023-06-05 20:36:00,密封失效
2023-05-01,EQ-0391,避雷器,重庆两江220kV变电站,0.4404,0.5866,23.8,,,,,,,-1,2023-06-05 20:36:00,密封失效
2023-06-01,EQ-0391,避雷器,重庆两江220kV变电站,0.555,0.6454,28.1,,,,,,,0,2023-06-05 20:36:00,密封失效
2023-03-01,EQ-0008,断路器,龙华220kV变电站,0.375,0.4792,19.7,,,9445.0,,,0.493,-3,2023-06-06 19:04:00,绝缘故障
2023-04-01,EQ-0008,断路器,龙华220kV变电站,0.4421,0.5922,26.9,,,9625.0,,,0.518,-2,2023-06-06 19:04:00,绝缘故障
2023-05-01,EQ-0008,断路器,龙华220kV变电站,0.4848,0.6336,30.6,,,6559.0,,,0.524,-1,2023-06-06 19:04:00,绝缘故障
2023-06-01,EQ-0008,断路器,龙华220kV变电站,0.5807,0.7569,34.0,,,7274.0,,,0.461,0,2023-06-06 19:04:00,绝缘故障
2023-03-01,EQ-0326,避雷器,江夏35kV变电站,0.3928,0.5068,9.4,,,,,,,-3,2023-06-08 03:32:00,阀片劣化
2023-04-01,EQ-0326,避雷器,江夏35kV变电站,0.4092,0.5134,17.3,,,,,,,-2,2023-06-08 03:32:00,阀片劣化
2023-05-01,EQ-0326,避雷器,江夏35kV变电站,0.4509,0.5557,22.6,,,,,,,-1,2023-06-08 03:32:00,阀片劣化
2023-06-01,EQ-0326,避雷器,江夏35kV变电站,0.5552,0.6516,28.8,,,,,,,0,2023-06-08 03:32:00,阀片劣化
2023-03-01,EQ-0412,断路器,沈阳浑南110kV变电站,0.4942,0.5945,3.8,,,8408.0,,,0.535,-3,2023-06-19 22:44:00,机械故障
2023-04-01,EQ-0412,断路器,沈阳浑南110kV变电站,0.4989,0.6538,12.3,,,6662.0,,,0.431,-2,2023-06-19 22:44:00,机械故障
2023-05-01,EQ-0412,断路器,沈阳浑南110kV变电站,0.5366,0.6431,19.5,,,11093.0,,,0.476,-1,2023-06-19 22:44:00,机械故障
2023-06-01,EQ-0412,断路器,沈阳浑南110kV变电站,0.6593,0.8366,22.1,,,7165.0,,,0.526,0,2023-06-19 22:44:00,机械故障
2023-03-01,EQ-0186,断路器,杭州滨江110kV变电站,0.5212,0.62,16.1,,,11475.0,,,0.534,-3,2023-06-20 19:48:00,机械故障
2023-04-01,EQ-0186,断路器,杭州滨江110kV变电站,0.5354,0.6581,19.8,,,9392.0,,,0.521,-2,2023-06-20 19:48:00,机械故障
2023-05-01,EQ-0186,断路器,杭州滨江110kV变电站,0.6003,0.7967,19.9,,,8623.0,,,0.527,-1,2023-06-20 19:48:00,机械故障
2023-06-01,EQ-0186,断路器,杭州滨江110kV变电站,0.7138,0.9298,27.4,,,5601.0,,,0.495,0,2023-06-20 19:48:00,机械故障
2023-03-01,EQ-0076,隔离开关,南沙110kV变电站,0.4072,0.4779,17.4,,,,,,,-3,2023-06-22 18:03:00,外力因素
2023-04-01,EQ-0076,隔离开关,南沙110kV变电站,0.3952,0.4852,25.6,,,,,,,-2,2023-06-22 18:03:00,外力因素
2023-05-01,EQ-0076,隔离开关,南沙110kV变电站,0.4761,0.5952,29.7,,,,,,,-1,2023-06-22 18:03:00,外力因素
2023-06-01,EQ-0076,隔离开关,南沙110kV变电站,0.5786,0.6703,33.4,,,,,,,0,2023-06-22 18:03:00,外力因素
2023-03-01,EQ-0072,断路器,南沙110kV变电站,0.4703,0.6285,15.8,,,10839.0,,,0.479,-3,2023-06-25 12:50:00,拒动/误动
2023-04-01,EQ-0072,断路器,南沙110kV变电站,0.4794,0.577,22.1,,,8412.0,,,0.484,-2,2023-06-25 12:50:00,拒动/误动
2023-05-01,EQ-0072,断路器,南沙110kV变电站,0.5746,0.683,30.2,,,10971.0,,,0.476,-1,2023-06-25 12:50:00,拒动/误动
2023-06-01,EQ-0072,断路器,南沙110kV变电站,0.6261,0.8073,30.8,,,9953.0,,,0.445,0,2023-06-25 12:50:00,拒动/误动
2023-03-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.4128,0.5151,0.8,,,6060.0,,,0.47,-3,2023-06-27 02:25:00,绝缘故障
2023-04-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.4225,0.5371,12.2,,,7339.0,,,0.496,-2,2023-06-27 02:25:00,绝缘故障
2023-05-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.4677,0.57,19.3,,,10305.0,,,0.477,-1,2023-06-27 02:25:00,绝缘故障
2023-06-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.5174,0.6215,17.9,,,9486.0,,,0.518,0,2023-06-27 02:25:00,绝缘故障
2023-03-01,EQ-0108,电力变压器,张江110kV变电站,0.5667,0.6666,15.0,54.6,68.1,7870.0,0.00357,7.8,,-3,2023-06-27 05:57:00,油系统故障
2023-04-01,EQ-0108,电力变压器,张江110kV变电站,0.6097,0.7437,23.0,66.7,82.3,11713.0,0.00556,11.2,,-2,2023-06-27 05:57:00,油系统故障
2023-05-01,EQ-0108,电力变压器,张江110kV变电站,0.5831,0.7183,27.1,65.4,80.5,8233.0,0.00417,8.6,,-1,2023-06-27 05:57:00,油系统故障
2023-06-01,EQ-0108,电力变压器,张江110kV变电站,0.7847,0.9284,25.0,70.8,90.9,8786.0,0.00512,6.3,,0,2023-06-27 05:57:00,油系统故障
2023-04-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.4225,0.5371,12.2,,,7339.0,,,0.496,-3,2023-07-04 02:25:00,拒动/误动
2023-05-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.4677,0.57,19.3,,,10305.0,,,0.477,-2,2023-07-04 02:25:00,拒动/误动
2023-06-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.5174,0.6215,17.9,,,9486.0,,,0.518,-1,2023-07-04 02:25:00,拒动/误动
2023-07-01,EQ-0415,断路器,沈阳浑南110kV变电站,0.6027,0.7944,26.8,,,10034.0,,,0.515,0,2023-07-04 02:25:00,拒动/误动
2023-04-01,EQ-0084,避雷器,南沙110kV变电站,0.5571,0.6847,22.8,,,,,,,-3,2023-07-06 09:47:00,阀片劣化
2023-05-01,EQ-0084,避雷器,南沙110kV变电站,0.6442,0.8622,30.0,,,,,,,-2,2023-07-06 09:47:00,阀片劣化
2023-06-01,EQ-0084,避雷器,南沙110kV变电站,0.7458,0.9642,36.3,,,,,,,-1,2023-07-06 09:47:00,阀片劣化
2023-07-01,EQ-0084,避雷器,南沙110kV变电站,0.9397,1.1,35.6,,,,,,,0,2023-07-06 09:47:00,阀片劣化
2023-04-01,EQ-0142,电容器组,临港110kV变电站,0.5174,0.6718,19.2,,,,0.00305,,,-3,2023-07-13 11:29:00,绝缘击穿
2023-05-01,EQ-0142,电容器组,临港110kV变电站,0.5597,0.6833,22.1,,,,0.00215,,,-2,2023-07-13 11:29:00,绝缘击穿
