设备编号,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,年龄风险原始,故障次数,累计修复时间,严重故障次数,严重故障占比,故障风险原始,MTTR(h),MTBF(h),设备可用率,平均巡检评分,巡检次数,缺陷次数,缺陷率,检修次数,平均延期天数,延期次数,延期率,平均负荷率,最大负荷率,平均油温,绝缘电阻,故障风险得分,可靠性得分,运行状态得分,巡检状态得分,检修状态得分,基础风险得分,健康评分,健康等级
EQ-0297,武昌110kV_电力变压器_03,电力变压器,110kV,武昌110kV变电站,华中,特变电工,2015-09-01,30,11,rated_capacity_mva=41.7; rated_current_a=161.8,正常运行,0.36666666666666664,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.66499999999999,40,3,0.075,10,4.5,2,0.2,0.49978048780487805,0.6262634146341464,54.580487804878054,9379.170731707318,100.0,96.78870235099855,73.43974029851235,82.0825,64.0,75.32808398950132,85.29087192885233,优
EQ-0101,前海110kV_避雷器_01,避雷器,35kV,前海110kV变电站,华南,河南久盛,2020-03-02,20,6,rated_voltage_kv=182.1,检修停运,0.3,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.36052631578947,38,3,0.07894736842105263,9,1.3333333333333333,1,0.1111111111111111,0.5156609756097561,0.643809756097561,58.81707317073171,9012.036585365855,100.0,96.78870235099855,61.421533836115294,81.83815789473684,80.0,82.67716535433071,85.18548745706636,优
EQ-0392,重庆两江220kV_GIS组合电器_01,GIS组合电器,220kV,重庆两江220kV变电站,西南,平高电气,2014-04-11,35,12,rated_current_a=2702.1; sf6_pressure_mpa=0.5,正常运行,0.34285714285714286,1.0,7.9,0.0,0.0,1.0,7.9,29512.1,0.9997323848238482,85.74512195121952,82,8,0.0975609756097561,9,1.3333333333333333,1,0.1111111111111111,0.518348780487805,0.654690243902439,55.802439024390246,9230.878048780487,100.0,97.13787298288854,66.12471080462466,78.23841463414634,80.0,77.95275590551181,85.18355454317579,优
EQ-0356,武侯110kV_隔离开关_03,隔离开关,110kV,武侯110kV变电站,西南,长征电气,2017-09-06,30,9,rated_current_a=2456.3,正常运行,0.3,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.57027027027027,37,1,0.02702702702702703,9,2.2222222222222223,1,0.1111111111111111,0.5482219512195122,0.6855073170731707,58.81707317073171,9012.036585365855,100.0,96.78870235099855,54.26580283858642,89.73108108108107,80.0,82.67716535433071,84.93827973551222,良
EQ-0147,临港110kV_GIS组合电器_01,GIS组合电器,110kV,临港110kV变电站,华东,新东北电气,2016-11-23,35,10,rated_current_a=3492.3; sf6_pressure_mpa=0.6,正常运行,0.2857142857142857,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.2439024390244,41,6,0.14634146341463414,11,3.5454545454545454,2,0.18181818181818182,0.5052585365853658,0.6352463414634146,56.19024390243903,9730.853658536585,100.0,96.78870235099855,72.14617204109422,72.17073170731707,67.27272727272728,84.25196850393701,84.76505421218256,良
EQ-0066,松山湖220kV_GIS组合电器_02,GIS组合电器,220kV,松山湖220kV变电站,华南,ABB,2016-02-28,35,10,rated_current_a=2946.0; sf6_pressure_mpa=0.5,正常运行,0.2857142857142857,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.60249999999999,80,3,0.0375,11,3.6363636363636362,3,0.2727272727272727,0.4922682926829268,0.6108292682926829,59.69512195121951,9464.487804878048,100.0,96.78870235099855,68.68696710863945,87.67625,50.909090909090914,84.25196850393701,84.7626773332304,良
EQ-0053,松山湖220kV_隔离开关_03,隔离开关,220kV,松山湖220kV变电站,华南,新东北电气,2016-09-19,30,10,rated_current_a=2495.9,正常运行,0.3333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.66913580246913,81,6,0.07407407407407407,9,1.6666666666666667,1,0.1111111111111111,0.5284414634146342,0.6575146341463415,58.81707317073171,9012.036585365855,100.0,96.78870235099855,58.8469612121551,82.22345679012345,80.0,79.00262467191601,84.36091369834085,良
EQ-0134,临港110kV_断路器_03,断路器,220kV,临港110kV变电站,华东,平高电气,2015-02-14,25,11,rated_current_a=2431.3; breaking_capacity_ka=46.5,正常运行,0.44,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.84556962025317,79,3,0.0379746835443038,10,1.8,1,0.1,0.5369658536585366,0.6720682926829268,58.81707317073171,9339.780487804877,100.0,96.78870235099855,58.933747892979504,88.22658227848102,82.0,67.24409448818898,84.30288683938667,良
EQ-0327,长沙星沙110kV_电力变压器_01,电力变压器,110kV,长沙星沙110kV变电站,华中,西门子,2015-06-12,30,11,rated_capacity_mva=229.4; rated_current_a=365.9,正常运行,0.36666666666666664,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.33,40,3,0.075,9,3.7777777777777777,2,0.2222222222222222,0.5276512195121952,0.6582243902439024,54.699999999999996,9708.439024390244,100.0,96.78870235099855,69.75806684741269,82.91499999999999,60.0,75.32808398950132,84.27941223863239,良
EQ-0183,杭州滨江110kV_电力变压器_02,电力变压器,110kV,杭州滨江110kV变电站,华东,保变电气,2016-08-12,30,10,rated_capacity_mva=202.1; rated_current_a=527.5,检修停运,0.3333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.30263157894737,38,3,0.07894736842105263,10,3.4,2,0.2,0.5166536585365854,0.6454707317073171,56.275609756097566,9225.512195121952,100.0,96.78870235099855,66.38523610468528,81.8092105263158,64.0,79.00262467191601,84.20643173727574,良
EQ-0353,武侯110kV_断路器_05,断路器,110kV,武侯110kV变电站,西南,西门子,2018-12-24,25,8,rated_current_a=3197.0; breaking_capacity_ka=58.1,正常运行,0.32,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.04594594594595,37,1,0.02702702702702703,10,1.7,1,0.1,0.6316951219512195,0.7822292682926828,58.81707317073171,10945.829268292682,100.0,96.78870235099855,50.269319428249574,89.96891891891892,82.0,80.4724409448819,84.15418628817567,良
EQ-0325,江夏35kV_避雷器_02,避雷器,110kV,江夏35kV变电站,华中,浙江金利华,2012-09-21,20,14,rated_voltage_kv=131.7,正常运行,0.7,1.0,10.3,0.0,0.0,1.0,10.3,29509.7,0.9996510840108401,86.75757575757575,33,2,0.06060606060606061,10,0.0,0,0.0,0.49010243902439027,0.6150292682926829,58.81707317073171,9012.036585365855,100.0,96.12814889299777,66.69098036179076,84.28787878787878,100.0,38.58267716535434,84.06527538567497,良
EQ-0310,武昌110kV_避雷器_02,避雷器,110kV,武昌110kV变电站,华中,河南久盛,2015-11-10,20,11,rated_voltage_kv=147.2,正常运行,0.55,1.0,1.8,0.0,0.0,1.0,1.8,29518.2,0.999939024390244,87.38947368421053,38,3,0.07894736842105263,10,3.0,1,0.1,0.49926585365853654,0.6216731707317074,58.81707317073171,9012.036585365855,100.0,99.70425504469425,65.12494872889043,81.85263157894738,82.0,55.118110236220474,83.9555465151811,良
EQ-0161,苏州工业园220kV_断路器_09,断路器,35kV,苏州工业园220kV变电站,华东,河南森源,2013-02-15,25,13,rated_current_a=3890.1; breaking_capacity_ka=36.3,正常运行,0.52,1.0,1.6,0.0,0.0,1.0,1.6,29518.4,0.9999457994579947,86.12439024390244,41,6,0.14634146341463414,9,0.0,0,0.0,0.5069585365853658,0.6333536585365854,58.81707317073171,8650.878048780487,100.0,99.7883987188518,60.76096051368361,71.1109756097561,100.0,58.425196850393704,83.61903787300986,良
EQ-0097,前海110kV_隔离开关_03,隔离开关,110kV,前海110kV变电站,华南,新东北电气,2021-01-28,30,5,rated_current_a=2714.0,正常运行,0.16666666666666666,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.285,40,5,0.125,10,0.0,0,0.0,0.6074365853658537,0.7601146341463415,58.81707317073171,9012.036585365855,100.0,96.78870235099855,41.36011657207329,74.8925,100.0,97.3753280839895,83.60117159301333,良
EQ-0131,临港110kV_电力变压器_03,电力变压器,110kV,临港110kV变电站,华东,特变电工,2016-09-13,30,10,rated_capacity_mva=86.4; rated_current_a=256.6,正常运行,0.3333333333333333,1.0,1.1,0.0,0.0,1.0,1.1,29518.9,0.9999627371273713,85.03947368421052,38,5,0.13157894736842105,9,3.4444444444444446,3,0.3333333333333333,0.4944365853658536,0.6160926829268293,54.52926829268292,9766.487804878048,100.0,99.99875790424569,77.6764895758943,72.78289473684211,40.0,79.00262467191601,83.35274617374591,良
EQ-0011,龙华220kV_断路器_06,断路器,220kV,龙华220kV变电站,华南,沈阳高开,2013-02-15,25,13,rated_current_a=1776.5; breaking_capacity_ka=44.0,正常运行,0.52,1.0,2.9,0.0,0.0,1.0,2.9,29517.1,0.9999017615176151,86.32278481012658,79,14,0.17721518987341772,10,0.0,0,0.0,0.5071463414634146,0.6346121951219512,58.81707317073171,9030.341463414634,100.0,99.24146483682762,63.27001312735814,66.57911392405063,100.0,58.425196850393704,83.3316823664841,良
EQ-0331,长沙星沙110kV_断路器_02,断路器,220kV,长沙星沙110kV变电站,华中,ABB,2015-04-09,25,11,rated_current_a=1794.7; breaking_capacity_ka=58.0,正常运行,0.44,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.36923076923077,78,13,0.16666666666666666,9,0.0,0,0.0,0.5419414634146341,0.6756829268292682,58.81707317073171,9455.365853658537,100.0,96.78870235099855,58.886899734396856,68.68461538461538,100.0,67.24409448818898,83.1622221735903,良
EQ-0197,杭州滨江110kV_避雷器_02,避雷器,35kV,杭州滨江110kV变电站,华东,ABB,2015-06-12,20,11,rated_voltage_kv=67.4,检修停运,0.55,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.77560975609757,41,5,0.12195121951219512,10,0.0,0,0.0,0.5246195121951219,0.6638000000000001,58.81707317073171,9012.036585365855,100.0,96.78870235099855,58.70357448512659,76.09512195121951,100.0,55.118110236220474,83.02453468353,良
EQ-0319,江夏35kV_隔离开关_01,隔离开关,35kV,江夏35kV变电站,华中,新东北电气,2011-10-23,30,15,rated_current_a=1100.3,正常运行,0.5,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.0575,40,5,0.125,9,0.0,0,0.0,0.5315926829268293,0.6682585365853659,58.81707317073171,9012.036585365855,100.0,96.78870235099855,57.564395223901734,73.77875,100.0,60.629921259842526,83.00042414096431,良
EQ-0252,天津滨海220kV_电力变压器_01,电力变压器,220kV,天津滨海220kV变电站,华北,ABB,2011-12-07,30,15,rated_capacity_mva=47.1; rated_current_a=511.5,正常运行,0.5,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.89746835443037,79,9,0.11392405063291139,12,2.3333333333333335,2,0.16666666666666666,0.5209902439024391,0.6549463414634146,52.582926829268295,9048.463414634147,100.0,96.78870235099855,69.27661822563877,76.86012658227848,70.0,60.629921259842526,82.8050752286535,良
EQ-0407,成都高新35kV_避雷器_03,避雷器,35kV,成都高新35kV变电站,西南,浙江金利华,2013-10-15,20,13,rated_voltage_kv=113.6,正常运行,0.65,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,89.38055555555555,36,2,0.05555555555555555,10,2.8,1,0.1,0.5087707317073171,0.6422707317073171,58.81707317073171,9012.036585365855,100.0,96.78870235099855,62.295043826597315,86.35694444444445,82.0,44.094488188976385,82.3797397210835,良
EQ-0062,松山湖220kV_避雷器_04,避雷器,220kV,松山湖220kV变电站,华南,西门子,2017-01-17,20,9,rated_voltage_kv=62.2,正常运行,0.45,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.60864197530864,81,9,0.1111111111111111,10,1.0,1,0.1,0.5301926829268293,0.6639341463414634,58.81707317073171,9012.036585365855,100.0,96.78870235099855,58.09472719315121,76.63765432098765,82.0,66.14173228346456,82.28650728532456,良
EQ-0200,杭州滨江110kV_GIS组合电器_01,GIS组合电器,110kV,杭州滨江110kV变电站,华东,西门子,2011-02-25,35,15,rated_current_a=2588.6; sf6_pressure_mpa=0.5,正常运行,0.42857142857142855,1.0,6.5,0.0,0.0,1.0,6.5,29513.5,0.999779810298103,87.65128205128205,39,4,0.10256410256410256,11,5.181818181818182,3,0.2727272727272727,0.49048536585365854,0.6178439024390244,55.926829268292686,8921.487804878048,100.0,97.7268787019915,70.01551706371988,78.44102564102565,50.909090909090914,68.50393700787401,82.25593579099262,良
EQ-0334,长沙星沙110kV_断路器_05,断路器,110kV,长沙星沙110kV变电站,华中,ABB,2018-09-09,25,8,rated_current_a=3327.1; breaking_capacity_ka=37.7,正常运行,0.32,1.0,11.9,0.0,0.0,1.0,11.9,29508.1,0.9995968834688347,85.10526315789474,38,3,0.07894736842105263,10,1.0,2,0.2,0.5557878048780488,0.7022439024390245,58.81707317073171,9807.878048780487,100.0,95.45499949973726,57.51975756420727,80.71052631578948,64.0,80.4724409448819,82.14877445464552,良
EQ-0355,武侯110kV_隔离开关_02,隔离开关,110kV,武侯110kV变电站,西南,河南森源,2011-08-08,30,15,rated_current_a=2076.8,正常运行,0.5,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.7945945945946,37,4,0.10810810810810811,9,0.0,0,0.0,0.5686560975609757,0.7008121951219513,58.81707317073171,9012.036585365855,100.0,96.78870235099855,50.73057323906002,77.18108108108109,100.0,60.629921259842526,82.14400940615813,良
EQ-0218,亦庄110kV_断路器_01,断路器,110kV,亦庄110kV变电站,华北,沈阳高开,2016-06-19,25,10,rated_current_a=1510.6; breaking_capacity_ka=56.8,正常运行,0.4,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.51,40,2,0.05,9,0.0,0,0.0,0.6453951219512195,0.8029414634146341,58.81707317073171,9701.585365853658,100.0,96.78870235099855,38.32390617994265,86.255,100.0,71.65354330708661,82.1261260368969,良
EQ-0284,石家庄高新35kV_断路器_01,断路器,35kV,石家庄高新35kV变电站,华北,ABB,2012-07-27,25,14,rated_current_a=1731.7; breaking_capacity_ka=32.2,检修停运,0.56,1.0,1.2,0.0,0.0,1.0,1.2,29518.8,0.9999593495934959,88.34,40,4,0.1,10,1.3,1,0.1,0.5394585365853658,0.6678487804878048,58.81707317073171,9196.829268292682,100.0,99.95668606716693,58.04334709051305,79.17,82.0,54.01574803149607,82.0770814346856,良
EQ-0368,重庆两江220kV_电力变压器_04,电力变压器,35kV,重庆两江220kV变电站,西南,西电集团,2016-01-01,30,10,rated_capacity_mva=219.5; rated_current_a=377.8,检修停运,0.3333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.08421052631579,38,3,0.07894736842105263,11,0.0,0,0.0,0.6283756097560976,0.7865121951219513,59.80975609756097,9416.317073170732,100.0,96.78870235099855,38.15034009558313,81.2,100.0,79.00262467191601,82.06807095650794,良
EQ-0364,武侯110kV_GIS组合电器_01,GIS组合电器,110kV,武侯110kV变电站,西南,西门子,2016-07-15,35,10,rated_current_a=3958.6; sf6_pressure_mpa=0.5,正常运行,0.2857142857142857,1.0,5.6,0.0,0.0,1.0,5.6,29514.4,0.999810298102981,87.09210526315789,38,5,0.13157894736842105,10,5.9,4,0.4,0.49336829268292687,0.6193682926829269,55.3780487804878,9639.878048780487,100.0,98.10552523570054,75.37596365662726,73.80921052631578,28.0,84.25196850393701,81.99287620780663,良
EQ-0137,临港110kV_隔离开关_01,隔离开关,110kV,临港110kV变电站,华东,河南森源,2017-02-24,30,9,rated_current_a=2198.9,带病运行,0.3,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.5875,40,4,0.1,9,4.444444444444445,2,0.2222222222222222,0.5335,0.6695560975609756,58.81707317073171,9012.036585365855,100.0,96.78870235099855,57.245939321443636,78.79375,60.0,82.67716535433071,81.89370736992151,良
EQ-0243,通州35kV_断路器_04,断路器,35kV,通州35kV变电站,华北,ABB,2012-08-14,25,14,rated_current_a=1981.8; breaking_capacity_ka=33.6,正常运行,0.56,1.0,12.1,0.0,0.0,1.0,12.1,29507.9,0.9995901084010841,88.7175,40,3,0.075,12,1.0833333333333333,1,0.08333333333333333,0.5192853658536586,0.6493853658536586,58.81707317073171,8531.90243902439,100.0,95.37085582557968,57.20263753060561,83.10875,85.0,54.01574803149607,81.88258597438667,良
EQ-0279,天津滨海220kV_GIS组合电器_01,GIS组合电器,220kV,天津滨海220kV变电站,华北,ABB,2014-12-13,35,12,rated_current_a=2099.2; sf6_pressure_mpa=0.6,带病运行,0.34285714285714286,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.79480519480519,77,4,0.05194805194805195,11,0.8181818181818182,2,0.18181818181818182,0.606248780487805,0.7492390243902439,55.05853658536586,9344.268292682927,100.0,96.78870235099855,50.27297105849463,86.1051948051948,67.27272727272728,77.95275590551181,81.85066222050177,良
EQ-0175,苏州工业园220kV_避雷器_04,避雷器,220kV,苏州工业园220kV变电站,华东,西门子,2013-01-21,20,13,rated_voltage_kv=80.5,正常运行,0.65,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.06075949367089,79,11,0.13924050632911392,9,0.0,0,0.0,0.5168195121951219,0.6494878048780488,58.81707317073171,9012.036585365855,100.0,96.78870235099855,60.7980087130255,72.64430379746835,100.0,44.094488188976385,81.82343660132271,良
EQ-0257,天津滨海220kV_断路器_02,断路器,220kV,天津滨海220kV变电站,华北,沈阳高开,2014-02-18,25,12,rated_current_a=3453.7; breaking_capacity_ka=61.5,正常运行,0.48,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.75802469135802,81,6,0.07407407407407407,12,2.1666666666666665,1,0.08333333333333333,0.5625609756097562,0.7082878048780488,58.81707317073171,9101.09756097561,100.0,96.78870235099855,51.34560433933923,82.26790123456789,85.0,62.83464566929135,81.75051109018189,良
EQ-0235,亦庄110kV_避雷器_05,避雷器,110kV,亦庄110kV变电站,华北,中国西电,2012-02-18,20,14,rated_voltage_kv=204.3,正常运行,0.7,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.50263157894737,38,4,0.10526315789473684,10,0.0,0,0.0,0.5209487804878049,0.6608853658536585,58.81707317073171,9012.036585365855,100.0,96.78870235099855,59.35317282169502,77.46184210526316,100.0,38.58267716535434,81.70591906686363,良
EQ-0055,松山湖220kV_隔离开关_05,隔离开关,220kV,松山湖220kV变电站,华南,河南森源,2015-02-05,30,11,rated_current_a=1034.4,正常运行,0.36666666666666664,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.28607594936709,79,15,0.189873417721519,10,0.0,0,0.0,0.5692390243902439,0.7107487804878049,58.81707317073171,9012.036585365855,100.0,96.78870235099855,49.79415348716892,65.1620253164557,100.0,75.32808398950132,81.62368336405198,良
EQ-0410,沈阳浑南110kV_电力变压器_03,电力变压器,35kV,沈阳浑南110kV变电站,东北,西电集团,2010-11-17,30,16,rated_capacity_mva=153.0; rated_current_a=365.0,正常运行,0.5333333333333333,1.0,2.7,0.0,0.0,1.0,2.7,29517.3,0.9999085365853658,87.69024390243902,41,2,0.04878048780487805,9,5.333333333333333,2,0.2222222222222222,0.5581999999999999,0.6966365853658537,50.01219512195122,8260.585365853658,100.0,99.3256085109852,59.9163597700737,86.52804878048781,60.0,56.955380577427825,81.52313903102774,良
EQ-0338,长沙星沙110kV_隔离开关_04,隔离开关,35kV,长沙星沙110kV变电站,华中,新东北电气,2016-10-10,30,10,rated_current_a=2721.4,带病运行,0.3333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.3923076923077,39,2,0.05128205128205128,9,4.555555555555555,2,0.2222222222222222,0.5596097560975609,0.7001731707317074,58.81707317073171,9012.036585365855,100.0,96.78870235099855,51.755904495907465,86.00384615384615,60.0,79.00262467191601,81.50976075964972,良
EQ-0359,武侯110kV_电容器组_02,电容器组,35kV,武侯110kV变电站,西南,思源电气,2016-12-10,20,10,rated_capacity_mvar=30.4,正常运行,0.5,1.0,7.9,0.0,0.0,1.0,7.9,29512.1,0.9997323848238482,87.405,40,4,0.1,10,1.7,1,0.1,0.5453439024390244,0.6829317073170732,58.81707317073171,9012.036585365855,100.0,97.13787298288854,54.800662953544766,78.7025,82.0,60.629921259842526,81.45607431327092,良
EQ-0043,松山湖220kV_断路器_01,断路器,220kV,松山湖220kV变电站,华南,河南森源,2017-01-09,25,9,rated_current_a=2957.0; breaking_capacity_ka=60.2,带病运行,0.36,2.0,22.8,0.0,0.0,2.0,11.4,14748.6,0.9992276422764228,89.07530864197531,81,5,0.06172839506172839,11,0.0,0,0.0,0.5161707317073171,0.6482121951219512,58.81707317073171,9684.341463414634,90.9090909090909,75.66530980702017,65.65682583838974,85.27839506172839,100.0,76.06299212598425,81.3897583282124,良
EQ-0146,临港110kV_避雷器_04,避雷器,110kV,临港110kV变电站,华东,河南久盛,2016-06-08,20,10,rated_voltage_kv=176.9,正常运行,0.5,1.0,13.0,0.0,0.0,1.0,13.0,29507.0,0.999559620596206,86.06829268292684,41,3,0.07317073170731707,11,2.272727272727273,2,0.18181818181818182,0.5116878048780488,0.648590243902439,58.81707317073171,9012.036585365855,100.0,94.99220929187065,61.42670850712859,82.05853658536586,67.27272727272728,60.629921259842526,81.38282890086172,良
EQ-0332,长沙星沙110kV_断路器_03,断路器,110kV,长沙星沙110kV变电站,华中,西门子,2014-08-13,25,12,rated_current_a=2796.6; breaking_capacity_ka=45.5,带病运行,0.48,1.0,10.8,0.0,0.0,1.0,10.8,29509.2,0.9996341463414634,88.7325,40,5,0.125,9,4.555555555555555,2,0.2222222222222222,0.4963317073170732,0.6188219512195122,58.81707317073171,9291.487804878048,100.0,95.91778970760386,67.6341572952351,75.61625000000001,60.0,62.83464566929135,81.33629146749693,良
EQ-0073,南沙110kV_断路器_03,断路器,110kV,南沙110kV变电站,华南,沈阳高开,2018-03-10,25,8,rated_current_a=2528.2; breaking_capacity_ka=42.5,正常运行,0.32,1.0,13.4,1.0,1.0,3.0,13.4,29506.6,0.9995460704607045,86.3948717948718,39,3,0.07692307692307693,10,0.0,0,0.0,0.5734731707317073,0.719129268292683,58.81707317073171,10266.609756097561,81.81818181818181,94.8239219435555,57.33131384471473,81.65897435897436,100.0,80.4724409448819,81.18168286053385,良
