设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0282,2023-02-02 00:00:00,电力变压器,石家庄高新35kV变电站,0.666,0.574,-13.76,0.86,0.749,-12.97,46.85,53.133,13.41,64.55,68.7,6.43,8551.5,9461.667,10.64,0.005,0.004,-27.14,10.45,10.933,4.63,,,
EQ-0043,2023-02-04 06:56:00,断路器,松山湖220kV变电站,0.454,0.435,-4.24,0.544,0.566,4.04,,,,,,,8900.0,8633.0,-3.0,,,,,,,0.483,0.471,-2.38
EQ-0078,2023-02-05 00:00:00,隔离开关,南沙110kV变电站,0.634,0.556,-12.19,0.819,0.738,-9.9,,,,,,,,,,,,,,,,,,
EQ-0337,2023-02-05 00:00:00,隔离开关,长沙星沙110kV变电站,0.578,0.54,-6.67,0.718,0.685,-4.51,,,,,,,,,,,,,,,,,,
EQ-0248,2023-02-07 00:00:00,电容器组,通州35kV变电站,0.489,0.425,-13.06,0.594,0.523,-11.93,,,,,,,,,,0.005,0.005,15.09,,,,,,
EQ-0160,2023-02-11 00:00:00,断路器,苏州工业园220kV变电站,0.432,0.426,-1.35,0.538,0.551,2.37,,,,,,,8227.0,7361.333,-10.52,,,,,,,0.518,0.485,-6.46
EQ-0208,2023-02-19 00:00:00,隔离开关,昆山35kV变电站,0.526,0.45,-14.4,0.641,0.55,-14.2,,,,,,,,,,,,,,,,,,
EQ-0396,2023-02-20 19:51:00,电力变压器,成都高新35kV变电站,0.491,0.464,-5.66,0.589,0.567,-3.65,42.0,56.1,33.57,56.5,71.5,26.55,10780.0,10220.0,-5.19,0.004,0.004,4.77,8.3,7.633,-8.03,,,
EQ-0047,2023-02-21 00:00:00,断路器,松山湖220kV变电站,0.546,0.509,-6.86,0.669,0.628,-6.23,,,,,,,9276.5,7364.667,-20.61,,,,,,,0.465,0.485,4.37
EQ-0344,2023-03-18 00:00:00,避雷器,长沙星沙110kV变电站,0.574,0.61,6.19,0.671,0.798,18.9,,,,,,,,,,,,,,,,,,
EQ-0434,2023-02-24 09:25:00,隔离开关,大连开发区35kV变电站,0.475,0.439,-7.6,0.577,0.54,-6.43,,,,,,,,,,,,,,,,,,
EQ-0035,2023-03-09 00:00:00,GIS组合电器,龙华220kV变电站,0.531,0.572,7.56,0.636,0.732,15.13,48.367,71.2,47.21,62.933,89.0,41.42,8729.667,7646.0,-12.41,,,,9.933,7.0,-29.53,0.482,0.482,0.0
EQ-0283,2023-02-26 00:00:00,电力变压器,石家庄高新35kV变电站,0.616,0.555,-9.9,0.762,0.69,-9.47,44.3,52.967,19.56,61.6,70.067,13.74,9875.0,8722.667,-11.67,0.004,0.004,-2.56,4.95,11.733,137.04,,,
EQ-0126,2023-02-26 00:00:00,避雷器,张江110kV变电站,0.545,0.523,-4.03,0.694,0.671,-3.33,,,,,,,,,,,,,,,,,,
EQ-0060,2023-03-01 00:00:00,避雷器,松山湖220kV变电站,0.476,0.471,-1.15,0.586,0.587,0.25,,,,,,,,,,,,,,,,,,
EQ-0062,2023-03-01 00:00:00,避雷器,松山湖220kV变电站,0.483,0.471,-2.49,0.623,0.605,-2.77,,,,,,,,,,,,,,,,,,
EQ-0144,2023-03-01 00:00:00,避雷器,临港110kV变电站,0.558,0.555,-0.65,0.702,0.677,-3.47,,,,,,,,,,,,,,,,,,
EQ-0415,2023-03-01 00:00:00,断路器,沈阳浑南110kV变电站,0.435,0.469,7.97,0.549,0.576,5.02,,,,,,,8169.5,9043.333,10.7,,,,,,,0.474,0.497,4.74
EQ-0029,2023-03-01 00:00:00,避雷器,龙华220kV变电站,0.619,0.657,6.17,0.763,0.822,7.79,,,,,,,,,,,,,,,,,,
EQ-0036,2023-03-01 00:00:00,GIS组合电器,龙华220kV变电站,0.586,0.585,-0.13,0.716,0.748,4.53,53.75,70.433,31.04,71.3,86.9,21.88,10134.5,10177.0,0.42,,,,4.0,10.333,158.33,0.454,0.502,10.45
EQ-0027,2023-03-01 00:00:00,避雷器,龙华220kV变电站,0.579,0.569,-1.76,0.729,0.684,-6.2,,,,,,,,,,,,,,,,,,
EQ-0063,2023-03-01 00:00:00,避雷器,松山湖220kV变电站,0.49,0.526,7.15,0.614,0.66,7.48,,,,,,,,,,,,,,,,,,
EQ-0301,2023-03-01 00:00:00,断路器,武昌110kV变电站,0.405,0.477,17.8,0.52,0.611,17.48,,,,,,,8572.5,8214.333,-4.18,,,,,,,0.484,0.476,-1.58
EQ-0397,2023-03-28 00:00:00,断路器,成都高新35kV变电站,0.563,0.591,5.03,0.706,0.733,3.87,,,,,,,8456.0,8319.0,-1.62,,,,,,,0.495,0.523,5.8
EQ-0085,2023-03-01 00:00:00,避雷器,南沙110kV变电站,0.494,0.562,13.88,0.648,0.71,9.49,,,,,,,,,,,,,,,,,,
EQ-0335,2023-03-19 00:00:00,隔离开关,长沙星沙110kV变电站,0.584,0.645,10.35,0.753,0.819,8.74,,,,,,,,,,,,,,,,,,
EQ-0032,2023-03-01 00:00:00,避雷器,龙华220kV变电站,0.438,0.477,8.9,0.553,0.632,14.12,,,,,,,,,,,,,,,,,,
EQ-0100,2023-03-02 00:00:00,电容器组,前海110kV变电站,0.597,0.625,4.69,0.735,0.761,3.63,,,,,,,,,,0.004,0.005,24.1,,,,,,
EQ-0182,2023-03-22 00:00:00,电力变压器,杭州滨江110kV变电站,0.502,0.581,15.63,0.638,0.714,11.95,47.0,64.4,37.02,61.933,80.8,30.46,11051.667,8962.667,-18.9,0.004,0.003,-18.77,5.967,10.767,80.45,,,
EQ-0049,2023-03-02 00:00:00,断路器,松山湖220kV变电站,0.48,0.529,10.26,0.597,0.68,13.98,,,,,,,8678.0,9760.667,12.48,,,,,,,0.504,0.491,-2.58
EQ-0152,2023-03-02 00:00:00,电力变压器,苏州工业园220kV变电站,0.573,0.62,8.09,0.73,0.778,6.56,48.167,62.8,30.38,63.667,80.167,25.92,9467.333,10344.0,9.26,0.003,0.005,78.53,9.233,6.267,-32.13,,,
EQ-0099,2023-03-02 00:00:00,电容器组,前海110kV变电站,0.558,0.569,1.86,0.704,0.711,0.97,,,,,,,,,,0.005,0.004,-9.76,,,,,,
EQ-0207,2023-03-02 00:00:00,隔离开关,昆山35kV变电站,0.585,0.594,1.48,0.707,0.749,5.97,,,,,,,,,,,,,,,,,,
EQ-0073,2023-03-02 00:00:00,断路器,南沙110kV变电站,0.505,0.525,3.97,0.651,0.656,0.85,,,,,,,11659.667,12340.667,5.84,,,,,,,0.479,0.514,7.3
EQ-0393,2023-03-02 00:00:00,GIS组合电器,重庆两江220kV变电站,0.543,0.574,5.71,0.676,0.699,3.34,44.633,63.0,41.15,59.333,78.067,31.57,8532.667,8190.667,-4.01,,,,9.467,11.3,19.37,0.462,0.47,1.73
EQ-0420,2023-03-02 00:00:00,电容器组,沈阳浑南110kV变电站,0.515,0.563,9.21,0.618,0.699,13.19,,,,,,,,,,0.004,0.005,21.77,,,,,,
EQ-0203,2023-03-02 00:00:00,断路器,昆山35kV变电站,0.452,0.507,12.21,0.554,0.639,15.36,,,,,,,6975.0,6982.0,0.1,,,,,,,0.514,0.466,-9.28
EQ-0035,2023-03-02 00:00:00,GIS组合电器,龙华220kV变电站,0.531,0.572,7.56,0.636,0.732,15.13,48.367,71.2,47.21,62.933,89.0,41.42,8729.667,7646.0,-12.41,,,,9.933,7.0,-29.53,0.482,0.482,0.0
EQ-0333,2023-03-02 18:11:00,断路器,长沙星沙110kV变电站,0.549,0.606,10.5,0.674,0.76,12.75,,,,,,,9092.667,8140.333,-10.47,,,,,,,0.504,0.49,-2.78
EQ-0368,2023-03-03 00:00:00,电力变压器,重庆两江220kV变电站,0.524,0.605,15.41,0.66,0.759,15.1,45.833,64.9,41.6,62.1,84.167,35.53,7674.333,8524.0,11.07,0.004,0.005,39.75,8.567,5.133,-40.08,,,
EQ-0038,2023-03-16 00:00:00,GIS组合电器,龙华220kV变电站,0.502,0.542,7.92,0.643,0.663,3.09,52.167,65.5,25.56,68.367,80.867,18.28,10111.0,6989.333,-30.87,,,,11.167,11.3,1.19,0.485,0.475,-1.99
EQ-0425,2023-03-06 00:00:00,避雷器,沈阳浑南110kV变电站,0.564,0.601,6.69,0.729,0.758,4.0,,,,,,,,,,,,,,,,,,
EQ-0399,2023-03-03 00:00:00,断路器,成都高新35kV变电站,0.582,0.638,9.62,0.717,0.847,18.18,,,,,,,10602.0,9319.0,-12.1,,,,,,,0.486,0.484,-0.41
EQ-0012,2023-03-03 00:00:00,断路器,龙华220kV变电站,0.526,0.558,6.09,0.651,0.703,8.04,,,,,,,8364.0,8403.0,0.47,,,,,,,0.485,0.491,1.17
EQ-0436,2023-03-30 00:00:00,电容器组,大连开发区35kV变电站,0.502,0.537,6.86,0.61,0.666,9.14,,,,,,,,,,0.006,0.005,-9.09,,,,,,
EQ-0416,2023-03-03 00:00:00,隔离开关,沈阳浑南110kV变电站,0.579,0.671,15.78,0.721,0.843,16.83,,,,,,,,,,,,,,,,,,
EQ-0303,2023-03-03 00:00:00,隔离开关,武昌110kV变电站,0.487,0.553,13.4,0.63,0.724,14.84,,,,,,,,,,,,,,,,,,
EQ-0098,2023-03-03 00:00:00,隔离开关,前海110kV变电站,0.494,0.53,7.24,0.582,0.632,8.67,,,,,,,,,,,,,,,,,,
EQ-0276,2023-03-22 00:00:00,避雷器,天津滨海220kV变电站,0.502,0.539,7.34,0.623,0.654,5.08,,,,,,,,,,,,,,,,,,
EQ-0219,2023-03-03 00:00:00,断路器,亦庄110kV变电站,0.586,0.594,1.41,0.765,0.761,-0.5,,,,,,,8438.0,8591.0,1.81,,,,,,,0.481,0.507,5.33
EQ-0220,2023-03-11 00:00:00,断路器,亦庄110kV变电站,0.59,0.617,4.54,0.74,0.77,4.03,,,,,,,9846.667,8880.333,-9.81,,,,,,,0.519,0.485,-6.55
EQ-0080,2023-03-11 00:00:00,电容器组,南沙110kV变电站,0.548,0.622,13.59,0.687,0.785,14.26,,,,,,,,,,0.005,0.005,-7.23,,,,,,
EQ-0227,2023-03-03 00:00:00,隔离开关,亦庄110kV变电站,0.599,0.627,4.71,0.724,0.776,7.18,,,,,,,,,,,,,,,,,,
EQ-0232,2023-03-03 00:00:00,避雷器,亦庄110kV变电站,0.515,0.575,11.62,0.643,0.737,14.63,,,,,,,,,,,,,,,,,,
EQ-0438,2023-03-13 00:00:00,避雷器,大连开发区35kV变电站,0.524,0.552,5.33,0.646,0.684,5.89,,,,,,,,,,,,,,,,,,
EQ-0308,2023-03-04 00:00:00,电容器组,武昌110kV变电站,0.485,0.56,15.4,0.592,0.692,16.95,,,,,,,,,,0.005,0.004,-20.8,,,,,,
EQ-0210,2023-03-04 00:00:00,电容器组,昆山35kV变电站,0.559,0.611,9.27,0.708,0.785,10.89,,,,,,,,,,0.005,0.006,4.97,,,,,,
EQ-0117,2023-03-04 00:00:00,隔离开关,张江110kV变电站,0.529,0.575,8.79,0.676,0.758,12.2,,,,,,,,,,,,,,,,,,
EQ-0112,2023-03-04 00:00:00,断路器,张江110kV变电站,0.487,0.543,11.42,0.617,0.656,6.43,,,,,,,8925.333,8036.667,-9.96,,,,,,,0.467,0.507,8.42
EQ-0092,2023-03-04 00:00:00,断路器,前海110kV变电站,0.492,0.525,6.66,0.604,0.655,8.56,,,,,,,10049.333,8663.333,-13.79,,,,,,,0.458,0.504,9.96
EQ-0174,2023-03-04 00:00:00,避雷器,苏州工业园220kV变电站,0.471,0.523,10.98,0.609,0.677,11.19,,,,,,,,,,,,,,,,,,
EQ-0253,2023-03-04 00:00:00,电力变压器,天津滨海220kV变电站,0.454,0.472,3.99,0.566,0.586,3.51,40.467,57.367,41.76,53.467,71.2,33.17,8967.333,9271.667,3.39,0.004,0.004,2.7,8.8,11.067,25.76,,,
EQ-0187,2023-03-04 00:00:00,断路器,杭州滨江110kV变电站,0.572,0.624,9.1,0.713,0.767,7.5,,,,,,,11106.0,9222.0,-16.96,,,,,,,0.508,0.51,0.39
EQ-0261,2023-03-04 00:00:00,断路器,天津滨海220kV变电站,0.579,0.628,8.59,0.697,0.771,10.57,,,,,,,7665.333,8663.333,13.02,,,,,,,0.474,0.502,5.98
EQ-0349,2023-03-04 00:00:00,断路器,武侯110kV变电站,0.452,0.467,3.31,0.574,0.565,-1.49,,,,,,,8531.0,8599.0,0.8,,,,,,,0.512,0.511,-0.2
EQ-0104,2023-03-04 00:00:00,避雷器,前海110kV变电站,0.458,0.503,9.63,0.563,0.6,6.57,,,,,,,,,,,,,,,,,,
EQ-0048,2023-03-04 00:00:00,断路器,松山湖220kV变电站,0.522,0.56,7.45,0.671,0.71,5.89,,,,,,,7026.667,10481.333,49.17,,,,,,,0.494,0.469,-5.19
EQ-0134,2023-03-05 00:00:00,断路器,临港110kV变电站,0.465,0.497,6.89,0.578,0.62,7.27,,,,,,,7791.0,9042.0,16.06,,,,,,,0.503,0.496,-1.46
EQ-0389,2023-03-05 00:00:00,避雷器,重庆两江220kV变电站,0.462,0.488,5.57,0.588,0.629,6.99,,,,,,,,,,,,,,,,,,
EQ-0194,2023-03-25 00:00:00,电容器组,杭州滨江110kV变电站,0.434,0.446,2.59,0.519,0.553,6.63,,,,,,,,,,0.005,0.005,-1.61,,,,,,
EQ-0157,2023-03-05 00:00:00,断路器,苏州工业园220kV变电站,0.558,0.588,5.46,0.662,0.721,8.86,,,,,,,7657.667,8067.0,5.35,,,,,,,0.521,0.464,-11.0
EQ-0186,2023-03-05 00:00:00,断路器,杭州滨江110kV变电站,0.603,0.616,2.22,0.754,0.795,5.47,,,,,,,9359.667,7872.0,-15.89,,,,,,,0.515,0.514,-0.06
EQ-0337,2023-03-05 00:00:00,隔离开关,长沙星沙110kV变电站,0.55,0.615,11.88,0.7,0.743,6.17,,,,,,,,,,,,,,,,,,
EQ-0239,2023-03-05 00:00:00,电力变压器,通州35kV变电站,0.44,0.489,11.17,0.533,0.621,16.51,41.667,59.333,42.4,57.633,76.467,32.68,10250.0,10611.667,3.53,0.004,0.005,11.71,10.2,7.133,-30.07,,,
EQ-0001,2023-03-17 00:00:00,电力变压器,龙华220kV变电站,0.488,0.521,6.76,0.587,0.664,13.2,50.733,65.7,29.5,65.8,83.267,26.55,10482.0,8395.0,-19.91,0.004,0.004,-10.64,8.533,11.1,30.08,,,
EQ-0118,2023-03-05 00:00:00,隔离开关,张江110kV变电站,0.584,0.6,2.67,0.717,0.737,2.73,,,,,,,,,,,,,,,,,,
EQ-0003,2023-03-05 00:00:00,电力变压器,龙华220kV变电站,0.449,0.519,15.57,0.558,0.661,18.41,48.933,71.433,45.98,64.733,88.133,36.15,6706.0,6528.333,-2.65,0.005,0.005,-16.09,10.4,10.967,5.45,,,
EQ-0364,2023-03-06 00:00:00,GIS组合电器,武侯110kV变电站,0.427,0.434,1.51,0.531,0.52,-2.14,45.033,55.433,23.09,57.467,72.267,25.75,9889.333,10571.0,6.89,,,,6.733,7.3,8.42,0.473,0.472,-0.21
EQ-0066,2023-03-04 00:00:00,GIS组合电器,松山湖220kV变电站,0.427,0.461,7.94,0.543,0.537,-1.13,49.267,65.433,32.81,64.833,81.333,25.45,10081.0,9892.333,-1.87,,,,12.0,9.233,-23.06,0.514,0.466,-9.34
EQ-0079,2023-03-16 00:00:00,隔离开关,南沙110kV变电站,0.516,0.56,8.5,0.656,0.72,9.75,,,,,,,,,,,,,,,,,,
EQ-0096,2023-03-06 00:00:00,隔离开关,前海110kV变电站,0.495,0.529,6.86,0.619,0.639,3.2,,,,,,,,,,,,,,,,,,
EQ-0259,2023-03-10 00:00:00,断路器,天津滨海220kV变电站,0.434,0.46,5.92,0.561,0.594,5.91,,,,,,,9193.667,8270.0,-10.05,,,,,,,0.493,0.517,5.01
EQ-0237,2023-03-06 00:00:00,GIS组合电器,亦庄110kV变电站,0.545,0.577,5.89,0.699,0.731,4.58,43.133,60.967,41.34,57.767,77.233,33.7,7988.667,7713.0,-3.45,,,,13.467,11.233,-16.58,0.504,0.472,-6.22
EQ-0131,2023-03-06 00:00:00,电力变压器,临港110kV变电站,0.403,0.452,12.24,0.489,0.588,20.26,41.033,54.667,33.23,53.433,70.167,31.32,9857.667,9702.333,-1.58,0.006,0.004,-36.61,6.567,5.9,-10.15,,,
EQ-0233,2023-03-06 00:00:00,避雷器,亦庄110kV变电站,0.571,0.652,14.23,0.729,0.826,13.26,,,,,,,,,,,,,,,,,,
EQ-0167,2023-03-06 00:00:00,隔离开关,苏州工业园220kV变电站,0.575,0.635,10.29,0.703,0.796,13.37,,,,,,,,,,,,,,,,,,
EQ-0011,2023-03-06 00:00:00,断路器,龙华220kV变电站,0.427,0.454,6.36,0.526,0.55,4.57,,,,,,,7490.667,10328.0,37.88,,,,,,,0.514,0.471,-8.37
EQ-0268,2023-03-07 00:00:00,隔离开关,天津滨海220kV变电站,0.565,0.613,8.5,0.724,0.756,4.38,,,,,,,,,,,,,,,,,,
EQ-0409,2023-03-07 00:00:00,电力变压器,沈阳浑南110kV变电站,0.553,0.628,13.63,0.671,0.779,16.15,37.5,61.433,63.82,54.7,78.5,43.51,9599.667,7732.0,-19.46,0.005,0.004,-26.69,4.633,3.767,-18.71,,,
EQ-0366,2023-03-07 00:00:00,电力变压器,重庆两江220kV变电站,0.48,0.513,6.96,0.566,0.636,12.47,44.833,58.167,29.74,59.333,75.033,26.46,7336.333,8580.667,16.96,0.003,0.005,40.68,6.5,13.1,101.54,,,
EQ-0260,2023-03-07 00:00:00,断路器,天津滨海220kV变电站,0.596,0.638,7.0,0.746,0.804,7.72,,,,,,,8519.667,7833.333,-8.06,,,,,,,0.482,0.5,3.67
EQ-0155,2023-03-07 00:00:00,断路器,苏州工业园220kV变电站,0.449,0.51,13.71,0.547,0.661,20.9,,,,,,,8085.0,7800.667,-3.52,,,,,,,0.472,0.468,-0.92
EQ-0156,2023-03-19 00:00:00,断路器,苏州工业园220kV变电站,0.436,0.444,2.04,0.539,0.568,5.42,,,,,,,7832.0,8197.667,4.67,,,,,,,0.505,0.462,-8.58
EQ-0307,2023-03-30 00:00:00,电容器组,武昌110kV变电站,0.472,0.496,5.09,0.594,0.617,3.82,,,,,,,,,,0.003,0.004,18.11,,,,,,
EQ-0058,2023-03-07 00:00:00,电容器组,松山湖220kV变电站,0.59,0.628,6.44,0.76,0.811,6.71,,,,,,,,,,0.005,0.004,-13.65,,,,,,
EQ-0166,2023-03-07 00:00:00,隔离开关,苏州工业园220kV变电站,0.466,0.478,2.41,0.599,0.584,-2.46,,,,,,,,,,,,,,,,,,
EQ-0070,2023-03-07 00:00:00,电力变压器,南沙110kV变电站,0.477,0.522,9.35,0.576,0.649,12.6,48.0,67.2,40.0,62.367,84.233,35.06,9546.0,8520.333,-10.74,0.004,0.005,27.4,6.667,7.267,9.0,,,
EQ-0161,2023-03-07 00:00:00,断路器,苏州工业园220kV变电站,0.431,0.47,9.2,0.525,0.601,14.38,,,,,,,8814.667,8797.0,-0.2,,,,,,,0.44,0.473,7.51
EQ-0251,2023-03-18 00:00:00,避雷器,通州35kV变电站,0.517,0.534,3.33,0.665,0.685,2.92,,,,,,,,,,,,,,,,,,
EQ-0371,2023-03-07 00:00:00,断路器,重庆两江220kV变电站,0.49,0.525,7.02,0.636,0.679,6.77,,,,,,,10390.333,8304.667,-20.07,,,,,,,0.467,0.5,7.14
EQ-0390,2023-03-08 00:00:00,避雷器,重庆两江220kV变电站,0.46,0.477,3.76,0.573,0.617,7.56,,,,,,,,,,,,,,,,,,
EQ-0359,2023-03-08 00:00:00,电容器组,武侯110kV变电站,0.459,0.491,6.79,0.579,0.604,4.28,,,,,,,,,,0.004,0.004,-5.68,,,,,,
EQ-0367,2023-03-30 00:00:00,电力变压器,重庆两江220kV变电站,0.507,0.53,4.43,0.637,0.674,5.67,47.6,59.7,25.42,62.833,76.333,21.49,7965.667,9661.333,21.29,0.005,0.005,2.83,8.0,13.4,67.5,,,
EQ-0200,2023-03-08 00:00:00,GIS组合电器,杭州滨江110kV变电站,0.438,0.447,2.16,0.575,0.539,-6.3,41.933,61.833,47.46,55.3,77.4,39.96,8970.333,7294.0,-18.69,,,,10.9,5.7,-47.71,0.474,0.495,4.36
EQ-0381,2023-03-08 00:00:00,隔离开关,重庆两江220kV变电站,0.574,0.63,9.75,0.677,0.795,17.58,,,,,,,,,,,,,,,,,,
EQ-0201,2023-03-08 00:00:00,电力变压器,昆山35kV变电站,0.512,0.566,10.54,0.637,0.722,13.35,52.267,61.367,17.41,67.967,78.633,15.69,7851.0,7258.0,-7.55,0.004,0.004,-4.5,5.267,15.8,200.0,,,
EQ-0197,2023-03-08 00:00:00,避雷器,杭州滨江110kV变电站,0.45,0.473,5.07,0.556,0.602,8.3,,,,,,,,,,,,,,,,,,
EQ-0358,2023-03-22 00:00:00,电容器组,武侯110kV变电站,0.559,0.582,4.13,0.732,0.73,-0.28,,,,,,,,,,0.005,0.005,1.59,,,,,,
EQ-0147,2023-03-08 00:00:00,GIS组合电器,临港110kV变电站,0.447,0.464,3.75,0.563,0.583,3.55,45.667,62.4,36.64,58.8,76.3,29.76,9843.0,8903.0,-9.55,,,,7.2,5.7,-20.83,0.514,0.492,-4.28
EQ-0325,2023-03-08 00:00:00,避雷器,江夏35kV变电站,0.419,0.466,11.27,0.544,0.566,3.99,,,,,,,,,,,,,,,,,,
EQ-0216,2023-03-08 00:00:00,电力变压器,亦庄110kV变电站,0.571,0.623,9.0,0.718,0.794,10.46,44.733,60.833,35.99,58.633,77.7,32.52,10338.333,9372.0,-9.35,0.005,0.004,-12.36,12.4,11.2,-9.68,,,
EQ-0414,2023-03-08 00:00:00,断路器,沈阳浑南110kV变电站,0.506,0.545,7.7,0.618,0.674,9.01,,,,,,,9155.333,8584.667,-6.23,,,,,,,0.509,0.472,-7.4
EQ-0297,2023-03-08 00:00:00,电力变压器,武昌110kV变电站,0.427,0.461,8.09,0.528,0.574,8.82,42.4,58.733,38.52,55.133,74.0,34.22,10686.333,9161.333,-14.27,0.004,0.005,8.69,12.6,6.5,-48.41,,,
EQ-0097,2023-03-08 00:00:00,隔离开关,前海110kV变电站,0.513,0.562,9.4,0.62,0.706,13.91,,,,,,,,,,,,,,,,,,
