设备编号,平均评分,最低评分,最高评分,巡检次数,设备类型,所属变电站
EQ-0219,87.45641025641027,74.1,99.1,39,断路器,亦庄110kV变电站
EQ-0220,86.95750000000001,75.8,99.3,40,断路器,亦庄110kV变电站
EQ-0221,87.41025641025641,75.3,97.8,39,断路器,亦庄110kV变电站
EQ-0222,86.37567567567568,69.3,98.1,37,断路器,亦庄110kV变电站
EQ-0223,87.0078947368421,65.1,97.5,38,断路器,亦庄110kV变电站
EQ-0224,88.1275,72.1,95.8,40,隔离开关,亦庄110kV变电站
EQ-0225,87.57179487179488,65.2,100.0,39,隔离开关,亦庄110kV变电站
EQ-0226,83.91052631578947,70.1,98.4,38,隔离开关,亦庄110kV变电站
EQ-0227,86.45625,64.8,100.0,80,隔离开关,亦庄110kV变电站
EQ-0228,87.59487179487179,72.2,99.4,39,隔离开关,亦庄110kV变电站
EQ-0229,85.34324324324324,68.7,98.1,37,电容器组,亦庄110kV变电站
EQ-0230,86.64,74.7,96.1,40,电容器组,亦庄110kV变电站
EQ-0231,86.13076923076923,74.3,99.2,39,避雷器,亦庄110kV变电站
EQ-0232,87.50263157894737,74.3,98.1,38,避雷器,亦庄110kV变电站
EQ-0233,86.56052631578947,67.6,98.5,38,避雷器,亦庄110kV变电站
EQ-0234,86.43086419753087,69.1,99.0,81,避雷器,亦庄110kV变电站
EQ-0235,86.50263157894737,68.8,95.0,38,避雷器,亦庄110kV变电站
EQ-0236,85.86951219512196,69.9,100.0,82,GIS组合电器,亦庄110kV变电站
EQ-0237,85.95263157894736,69.4,100.0,38,GIS组合电器,亦庄110kV变电站
EQ-0238,84.08947368421053,70.7,94.9,38,电力变压器,通州35kV变电站
EQ-0239,84.78571428571429,70.3,97.0,35,电力变压器,通州35kV变电站
EQ-0240,86.79268292682927,73.0,100.0,41,断路器,通州35kV变电站
EQ-0241,89.16111111111111,76.5,99.0,36,断路器,通州35kV变电站
EQ-0242,87.0421052631579,66.1,100.0,38,断路器,通州35kV变电站
EQ-0243,88.7175,75.2,100.0,40,断路器,通州35kV变电站
EQ-0244,89.32000000000001,74.2,100.0,80,隔离开关,通州35kV变电站
EQ-0245,83.65789473684211,68.3,94.6,38,隔离开关,通州35kV变电站
EQ-0246,86.95,73.1,100.0,38,隔离开关,通州35kV变电站
EQ-0247,84.7225,66.7,100.0,40,电容器组,通州35kV变电站
EQ-0248,85.35249999999999,61.9,100.0,40,电容器组,通州35kV变电站
EQ-0249,88.75555555555555,70.6,100.0,36,避雷器,通州35kV变电站
EQ-0250,85.15135135135135,71.1,100.0,37,避雷器,通州35kV变电站
EQ-0251,86.72564102564102,73.6,98.6,39,避雷器,通州35kV变电站
EQ-0252,87.89746835443037,75.3,100.0,79,电力变压器,天津滨海220kV变电站
EQ-0253,87.91499999999999,75.6,99.3,40,电力变压器,天津滨海220kV变电站
EQ-0254,87.79634146341463,74.6,99.3,82,电力变压器,天津滨海220kV变电站
EQ-0255,87.38974358974359,73.9,100.0,39,电力变压器,天津滨海220kV变电站
EQ-0256,85.12625,69.4,100.0,80,断路器,天津滨海220kV变电站
EQ-0257,86.75802469135802,67.1,100.0,81,断路器,天津滨海220kV变电站
EQ-0258,86.77317073170731,72.5,97.6,41,断路器,天津滨海220kV变电站
EQ-0259,87.505,74.9,99.0,80,断路器,天津滨海220kV变电站
EQ-0260,84.90128205128205,64.8,99.9,78,断路器,天津滨海220kV变电站
EQ-0261,86.85375,74.8,96.5,80,断路器,天津滨海220kV变电站
EQ-0262,87.44500000000001,71.0,100.0,80,断路器,天津滨海220kV变电站
EQ-0263,87.2921052631579,71.2,100.0,76,断路器,天津滨海220kV变电站
EQ-0264,85.08947368421053,75.3,95.0,38,隔离开关,天津滨海220kV变电站
EQ-0265,88.26625,70.3,100.0,80,隔离开关,天津滨海220kV变电站
EQ-0266,85.71341463414635,74.1,97.8,82,隔离开关,天津滨海220kV变电站
EQ-0267,86.37073170731706,72.2,100.0,82,隔离开关,天津滨海220kV变电站
EQ-0268,86.83291139240507,70.1,100.0,79,隔离开关,天津滨海220kV变电站
EQ-0269,85.78717948717949,57.5,100.0,39,隔离开关,天津滨海220kV变电站
EQ-0270,85.40769230769232,68.5,100.0,39,电容器组,天津滨海220kV变电站
EQ-0271,85.25897435897436,62.6,98.1,39,电容器组,天津滨海220kV变电站
EQ-0272,87.34054054054054,70.5,100.0,37,电容器组,天津滨海220kV变电站
EQ-0273,86.08101265822785,70.5,99.1,79,避雷器,天津滨海220kV变电站
EQ-0274,85.49615384615385,70.0,98.9,78,避雷器,天津滨海220kV变电站
EQ-0275,87.07692307692308,71.9,99.1,39,避雷器,天津滨海220kV变电站
EQ-0276,85.00253164556962,68.0,100.0,79,避雷器,天津滨海220kV变电站
EQ-0277,86.49230769230769,70.7,96.4,39,避雷器,天津滨海220kV变电站
EQ-0278,88.06666666666666,73.2,100.0,78,避雷器,天津滨海220kV变电站
EQ-0279,87.79480519480519,70.7,100.0,77,GIS组合电器,天津滨海220kV变电站
EQ-0280,84.6890243902439,58.1,99.6,82,GIS组合电器,天津滨海220kV变电站
EQ-0281,84.63414634146342,69.6,100.0,82,GIS组合电器,天津滨海220kV变电站
EQ-0282,86.97073170731707,68.6,100.0,41,电力变压器,石家庄高新35kV变电站
EQ-0283,83.56315789473685,65.6,100.0,38,电力变压器,石家庄高新35kV变电站
EQ-0284,88.34,77.4,100.0,40,断路器,石家庄高新35kV变电站
EQ-0285,88.03,74.6,98.7,40,断路器,石家庄高新35kV变电站
EQ-0286,85.36666666666667,75.4,100.0,39,断路器,石家庄高新35kV变电站
EQ-0287,85.62307692307692,68.6,100.0,39,隔离开关,石家庄高新35kV变电站
EQ-0288,83.51538461538462,66.3,96.4,39,隔离开关,石家庄高新35kV变电站
EQ-0289,84.58157894736841,64.1,94.4,38,隔离开关,石家庄高新35kV变电站
EQ-0290,86.11052631578947,75.0,100.0,38,电容器组,石家庄高新35kV变电站
EQ-0291,86.58,68.9,100.0,40,电容器组,石家庄高新35kV变电站
EQ-0292,85.20769230769231,67.1,99.5,39,避雷器,石家庄高新35kV变电站
EQ-0293,84.995,67.3,96.3,40,避雷器,石家庄高新35kV变电站
EQ-0294,84.43333333333334,68.1,96.1,36,避雷器,石家庄高新35kV变电站
EQ-0295,85.205,66.4,99.9,40,电力变压器,武昌110kV变电站
EQ-0296,86.69999999999999,72.2,95.5,41,电力变压器,武昌110kV变电站
EQ-0297,86.66499999999999,78.5,98.6,40,电力变压器,武昌110kV变电站
EQ-0298,87.2,73.0,98.5,37,断路器,武昌110kV变电站
EQ-0299,87.18461538461538,70.6,98.6,39,断路器,武昌110kV变电站
EQ-0300,85.3763157894737,68.9,98.2,38,断路器,武昌110kV变电站
EQ-0301,85.12972972972973,71.1,96.3,37,断路器,武昌110kV变电站
EQ-0302,86.015,70.3,100.0,80,断路器,武昌110kV变电站
EQ-0303,87.11025641025641,70.3,96.7,39,隔离开关,武昌110kV变电站
EQ-0304,88.11842105263158,78.1,100.0,38,隔离开关,武昌110kV变电站
EQ-0305,86.42,73.6,97.5,40,隔离开关,武昌110kV变电站
EQ-0306,87.63846153846154,71.4,100.0,39,隔离开关,武昌110kV变电站
EQ-0307,85.6825,72.6,100.0,40,电容器组,武昌110kV变电站
EQ-0308,88.6,79.0,100.0,40,电容器组,武昌110kV变电站
EQ-0309,86.45526315789475,76.0,100.0,38,避雷器,武昌110kV变电站
EQ-0310,87.38947368421053,73.2,100.0,38,避雷器,武昌110kV变电站
EQ-0311,88.7421052631579,74.3,98.8,38,避雷器,武昌110kV变电站
EQ-0312,87.66499999999999,77.5,100.0,40,避雷器,武昌110kV变电站
EQ-0313,86.01621621621621,77.1,100.0,37,GIS组合电器,武昌110kV变电站
EQ-0314,84.42564102564103,70.9,98.7,39,电力变压器,江夏35kV变电站
EQ-0315,86.62105263157895,72.9,100.0,38,电力变压器,江夏35kV变电站
EQ-0316,86.33333333333333,68.0,100.0,81,断路器,江夏35kV变电站
EQ-0317,84.12,71.6,100.0,80,断路器,江夏35kV变电站
EQ-0318,86.53999999999999,72.2,95.6,40,断路器,江夏35kV变电站
EQ-0319,85.0575,70.5,94.1,40,隔离开关,江夏35kV变电站
EQ-0320,84.35897435897436,63.9,96.7,39,隔离开关,江夏35kV变电站
EQ-0321,86.115,78.4,100.0,40,隔离开关,江夏35kV变电站
EQ-0322,86.26756756756757,71.4,100.0,37,电容器组,江夏35kV变电站
EQ-0323,86.44324324324324,72.6,100.0,37,电容器组,江夏35kV变电站
EQ-0324,84.25750000000001,71.1,100.0,40,避雷器,江夏35kV变电站
EQ-0325,86.75757575757575,70.0,100.0,33,避雷器,江夏35kV变电站
EQ-0326,85.55128205128206,71.0,100.0,39,避雷器,江夏35kV变电站
EQ-0327,88.33,77.8,98.4,40,电力变压器,长沙星沙110kV变电站
EQ-0328,86.38250000000001,76.7,96.4,40,电力变压器,长沙星沙110kV变电站
EQ-0329,86.05,76.8,100.0,38,电力变压器,长沙星沙110kV变电站
EQ-0330,85.75526315789473,75.4,98.2,38,断路器,长沙星沙110kV变电站
EQ-0331,87.36923076923077,61.3,100.0,78,断路器,长沙星沙110kV变电站
EQ-0332,88.7325,74.6,100.0,40,断路器,长沙星沙110kV变电站
EQ-0333,88.23421052631579,76.4,99.9,38,断路器,长沙星沙110kV变电站
EQ-0334,85.10526315789474,60.3,99.2,38,断路器,长沙星沙110kV变电站
EQ-0335,87.61,68.1,100.0,40,隔离开关,长沙星沙110kV变电站
EQ-0336,86.31282051282051,73.6,100.0,39,隔离开关,长沙星沙110kV变电站
EQ-0337,87.41875,69.9,100.0,80,隔离开关,长沙星沙110kV变电站
EQ-0338,87.3923076923077,74.8,98.2,39,隔离开关,长沙星沙110kV变电站
EQ-0339,85.33846153846153,71.9,99.0,39,电容器组,长沙星沙110kV变电站
EQ-0340,87.4,68.4,100.0,37,电容器组,长沙星沙110kV变电站
EQ-0341,86.95853658536586,72.8,100.0,41,避雷器,长沙星沙110kV变电站
EQ-0342,87.60263157894737,74.1,100.0,38,避雷器,长沙星沙110kV变电站
EQ-0343,87.41282051282052,75.7,96.0,39,避雷器,长沙星沙110kV变电站
EQ-0344,87.30512820512821,77.8,100.0,39,避雷器,长沙星沙110kV变电站
EQ-0345,86.77297297297297,74.6,100.0,37,GIS组合电器,长沙星沙110kV变电站
